Model,Semua Variabel Signifikan,P-value Ljung Box,White Noise?,P-value Lillie Test,Distribusi Normal?,Training Time (s),RMSE Training,RMSE Testing,MAE Training,MAE Testing,MAPE Training,MAPE Testing,R² Training,R² Testing
"ARIMA(1, 0, 0)",Ya,0.0,Tidak,0.001,Tidak,1.25,21.4599,40.6527,5.9,31.4713,0.02,5.92,0.7765,-0.9748
"ARIMA(2, 0, 0)",Ya,0.0,Tidak,0.001,Tidak,2.66,19.843,40.2857,5.9465,31.1082,0.02,5.87,0.8089,-0.9393
"ARIMA(3, 0, 0)",Ya,0.0,Tidak,0.001,Tidak,4.23,19.7431,40.2089,6.0272,31.0344,0.02,5.86,0.8108,-0.9319
"ARIMA(4, 0, 0)",Tidak,0.0,Tidak,0.001,Tidak,4.8,19.7424,40.2067,6.0281,31.0319,0.02,5.86,0.8109,-0.9317
"ARIMA(5, 0, 0)",Tidak,0.0,Tidak,0.001,Tidak,6.91,19.742,40.2207,6.0333,31.0467,0.02,5.86,0.8109,-0.9331
"ARIMA(6, 0, 0)",Tidak,0.0,Tidak,0.001,Tidak,13.7,19.7419,40.2165,6.0314,31.0424,0.02,5.86,0.8109,-0.9327
"ARIMA(7, 0, 0)",Tidak,0.0,Tidak,0.001,Tidak,9.2,19.7394,40.1954,6.0226,31.0195,0.02,5.85,0.8109,-0.9306
"ARIMA(8, 0, 0)",Tidak,0.0,Tidak,0.001,Tidak,13.25,19.7321,40.1617,6.0088,30.9795,0.02,5.85,0.811,-0.9274
"ARIMA(9, 0, 0)",Tidak,0.0,Tidak,0.001,Tidak,14.33,19.7199,40.1237,5.9913,30.9273,0.02,5.84,0.8113,-0.9238
"ARIMA(10, 0, 0)",Tidak,0.0,Tidak,0.001,Tidak,14.55,19.7104,40.0933,5.9778,30.8775,0.02,5.83,0.8115,-0.9208
"ARIMA(11, 0, 0)",Tidak,0.163139,Ya,0.001,Tidak,16.73,19.7007,40.0652,5.9657,30.8227,0.02,5.83,0.8116,-0.9182
"ARIMA(12, 0, 0)",Tidak,0.627902,Ya,0.001,Tidak,17.34,19.6891,40.0366,5.9512,30.7587,0.02,5.82,0.8119,-0.9154
"ARIMA(13, 0, 0)",Tidak,0.588338,Ya,0.001,Tidak,22.5,19.6774,40.0101,5.9358,30.7001,0.02,5.81,0.8121,-0.9129
"ARIMA(14, 0, 0)",Tidak,0.556526,Ya,0.001,Tidak,22.22,19.6635,39.9855,5.9216,30.653,0.02,5.8,0.8124,-0.9105
"ARIMA(15, 0, 0)",Tidak,0.611289,Ya,0.001,Tidak,26.79,19.6486,39.9566,5.9123,30.5817,0.02,5.79,0.8126,-0.9078
"ARIMA(16, 0, 0)",Tidak,0.736685,Ya,0.001,Tidak,29.34,19.6374,39.934,5.9047,30.5059,0.02,5.78,0.8129,-0.9056
"ARIMA(17, 0, 0)",Tidak,0.900131,Ya,0.001,Tidak,34.43,19.6226,39.9025,5.8935,30.3956,0.02,5.76,0.8131,-0.9026
"ARIMA(18, 0, 0)",Tidak,0.977142,Ya,0.001,Tidak,36.2,19.6125,39.8731,5.8857,30.2577,0.02,5.74,0.8133,-0.8998
"ARIMA(19, 0, 0)",Tidak,0.997565,Ya,0.001,Tidak,41.28,19.6039,39.8438,5.8762,30.0845,0.02,5.72,0.8135,-0.897
"ARIMA(20, 0, 0)",Tidak,0.999988,Ya,0.001,Tidak,42.64,19.5825,39.7958,5.8707,29.7851,0.02,5.67,0.8139,-0.8924
"ARIMA(21, 0, 0)",Tidak,0.999971,Ya,0.001,Tidak,51.38,19.5817,39.8047,5.8744,29.826,0.02,5.68,0.8139,-0.8933
"ARIMA(0, 0, 1)",Ya,0.0,Tidak,0.001,Tidak,14.25,31.9429,42.0778,21.1434,32.6378,0.04,6.09,0.5048,-1.1157
"ARIMA(0, 0, 2)",Ya,0.0,Tidak,0.001,Tidak,22.9,27.2913,41.9572,15.8095,32.5962,0.04,6.08,0.6385,-1.1036
"ARIMA(0, 0, 3)",Ya,0.0,Tidak,0.001,Tidak,29.96,24.945,41.8575,13.065,32.5578,0.03,6.08,0.698,-1.0936
"ARIMA(0, 0, 4)",Ya,0.0,Tidak,0.001,Tidak,36.14,23.4825,41.7573,11.4653,32.5158,0.03,6.07,0.7324,-1.0836
"ARIMA(0, 0, 5)",Ya,0.0,Tidak,0.001,Tidak,41.29,22.5154,41.6676,10.4104,32.4748,0.03,6.07,0.754,-1.0747
"ARIMA(0, 0, 6)",Ya,0.0,Tidak,0.001,Tidak,46.47,21.8711,41.5928,9.6194,32.4391,0.03,6.06,0.7679,-1.0672
"ARIMA(0, 0, 7)",Ya,0.0,Tidak,0.001,Tidak,55.28,21.4263,41.525,9.051,32.4023,0.02,6.06,0.7772,-1.0605
"ARIMA(0, 0, 8)",Ya,0.0,Tidak,0.001,Tidak,68.38,21.1087,41.4562,8.6359,32.3624,0.02,6.05,0.7838,-1.0537
"ARIMA(0, 0, 9)",Ya,0.0,Tidak,0.001,Tidak,71.91,20.8809,41.4074,8.3057,32.3331,0.02,6.05,0.7884,-1.0488
"ARIMA(0, 0, 10)",Ya,0.0,Tidak,0.001,Tidak,78.87,20.6967,41.3595,8.0415,32.3013,0.02,6.04,0.7921,-1.0441
"ARIMA(0, 0, 11)",Ya,0.0,Tidak,0.001,Tidak,96.59,20.5585,41.3114,7.8376,32.2674,0.02,6.04,0.7949,-1.0393
"ARIMA(0, 0, 12)",Ya,0.0,Tidak,0.001,Tidak,120.15,20.4411,41.2692,7.6775,32.236,0.02,6.03,0.7972,-1.0352
"ARIMA(0, 0, 13)",Ya,0.0,Tidak,0.001,Tidak,123.78,20.3473,41.2318,7.5423,32.2066,0.02,6.03,0.7991,-1.0315
"ARIMA(0, 0, 14)",Ya,0.0,Tidak,0.001,Tidak,141.08,20.2703,41.1936,7.4243,32.1741,0.02,6.02,0.8006,-1.0277
"ARIMA(0, 0, 15)",Ya,0.0,Tidak,0.001,Tidak,127.1,20.1989,41.1618,7.3095,32.1462,0.02,6.02,0.802,-1.0246
"ARIMA(0, 0, 16)",Ya,0.0,Tidak,0.001,Tidak,158.58,20.1499,41.1338,7.2112,32.1196,0.02,6.02,0.803,-1.0218
"ARIMA(0, 0, 17)",Ya,0.0,Tidak,0.001,Tidak,167.74,20.1081,41.1092,7.1118,32.0956,0.02,6.01,0.8038,-1.0194
"ARIMA(0, 0, 18)",Ya,0.0,Tidak,0.001,Tidak,220.05,20.0874,41.0936,7.0332,32.0798,0.02,6.01,0.8042,-1.0179
"ARIMA(0, 0, 19)",Ya,0.0,Tidak,0.001,Tidak,231.5,20.0814,41.0845,6.9885,32.0704,0.02,6.01,0.8043,-1.017
"ARIMA(0, 0, 20)",Ya,0.0,Tidak,0.001,Tidak,279.15,20.0304,41.0567,6.9267,32.0387,0.02,6.01,0.8053,-1.0143
"ARIMA(0, 0, 21)",Ya,0.0,Tidak,0.001,Tidak,294.1,20.0194,41.0345,6.8814,32.0113,0.02,6.0,0.8055,-1.0121
"ARIMA(0, 0, 22)",Ya,7e-06,Tidak,0.001,Tidak,323.16,20.0079,41.0111,6.8437,31.9806,0.02,6.0,0.8057,-1.0098
"ARIMA(0, 0, 23)",Ya,0.000109,Tidak,0.001,Tidak,285.93,19.9934,40.9977,6.8138,31.9648,0.02,6.0,0.806,-1.0085
"ARIMA(0, 0, 24)",Ya,0.000478,Tidak,0.001,Tidak,382.79,19.9796,40.9744,6.7893,31.9315,0.02,5.99,0.8063,-1.0062
"ARIMA(0, 0, 25)",Ya,0.000749,Tidak,0.001,Tidak,386.43,19.9655,40.9466,6.768,31.8889,0.02,5.98,0.8066,-1.0035
