sequence_length,lstm_units,dropout_rate,learning_rate,batch_size,epochs,train_rmse,train_r2,val_rmse,val_r2,test_rmse,test_r2,test_mae,test_mape,epochs_trained,final_train_loss,final_val_loss,best_val_loss
36,[32],0.3,0.001,64,30,14.764693640619742,0.8990699179222242,22.501638864555144,0.6817266921001109,24.571041062046344,0.23887919337822316,4.3248823271023005,1.9348115005470894,21,0.07211000472307205,0.17197275161743164,0.16737975180149078
36,[32],0.5,0.001,64,30,15.221634125675656,0.8927260421702987,22.65693718428233,0.6773183132172531,24.654114407160076,0.2337238775798428,4.330390389510027,1.9437235313109238,20,0.0768519937992096,0.17751312255859375,0.1696980893611908
36,[64],0.3,0.001,64,30,14.179107599534385,0.9069171776891373,22.314992798774487,0.6869848057651073,24.4082140190345,0.24893333945204987,4.099992406649853,1.902775078924022,30,0.06739218533039093,0.16551293432712555,0.1646145135164261
36,[64],0.5,0.001,64,30,14.11453218237272,0.9077630947553602,22.336054454121157,0.6863936579777655,24.495427761892717,0.24355643145341188,4.024761490308706,1.8949735085796615,30,0.0719294473528862,0.16517981886863708,0.16492538154125214
48,[32],0.3,0.001,64,30,14.498357179081177,0.9027139007100426,22.475599861930966,0.6825502278981282,24.699672422572878,0.23552744395814929,5.370921906970796,2.105664862239064,21,0.07109441608190536,0.16931341588497162,0.16699256002902985
48,[32],0.5,0.001,64,30,15.170479921078297,0.8934847377249587,22.630881330603447,0.6781486234193209,24.9643919353525,0.2190531153277635,7.130716878901083,2.363405618691476,21,0.07606112957000732,0.18477129936218262,0.16930803656578064
48,[64],0.3,0.001,64,30,14.230318189657646,0.9062778110926232,22.483000509297373,0.6823411370954399,24.800109178862176,0.2292976243224294,4.938745125260933,2.0468212604678007,25,0.06767737865447998,0.1689821183681488,0.16710259020328522
48,[64],0.5,0.001,64,30,14.241072685720006,0.9061360973559159,22.432186348703443,0.6837754054057328,24.730111635473467,0.23364205202922228,5.358084138739046,2.1080560193263023,30,0.07062792032957077,0.16641229391098022,0.16634808480739594
72,[32],0.3,0.001,64,30,14.594085502483049,0.9014388527364896,22.4510075306516,0.683462421243079,24.820053661049972,0.22691743023344946,5.409298189224735,2.131933549928315,30,0.06996148824691772,0.1688564419746399,0.16662733256816864
72,[32],0.5,0.001,64,30,15.411680403212925,0.8900862649646584,22.548696662962687,0.6807017828977313,24.970222396979366,0.21753436990558772,6.71251452866421,2.32007560197202,25,0.07323066145181656,0.19043709337711334,0.16808052361011505
72,[64],0.3,0.001,64,30,14.228755480631916,0.9063116026898732,22.377145822801467,0.6855417530611079,24.78610478081894,0.22903082924297424,3.864029710010816,1.9024076746993024,21,0.06902413815259933,0.16722942888736725,0.16553276777267456
72,[64],0.5,0.001,64,30,14.37693278196214,0.9043501128636505,22.381294077549363,0.685425154292404,24.756504190998072,0.23087117611591923,4.284283422654675,1.962184238392578,30,0.07130897045135498,0.167976975440979,0.1655941605567932
