Tanggal,time_index,hour_sin,hour_cos,dayofyear_sin,dayofyear_cos,manggarai_air_lag1,manggarai_air_lag2,manggarai_air_lag3,manggarai_air_lag4,manggarai_air_lag5,manggarai_air_lag6,manggarai_air_lag7,manggarai_air_lag9,manggarai_air_lag12,manggarai_air_lag14,manggarai_air_lag15,manggarai_air_lag17,manggarai_air_lag20,manggarai_air_lag21,depok_air_lag3,depok_air_lag6,depok_air_lag7,depok_air_lag8,depok_air_lag9,depok_air_lag10,depok_air_lag12,depok_air_lag13,depok_air_lag14,depok_air_lag16,depok_air_lag19,depok_air_lag20,depok_air_lag23,depok_air_lag24,katulampa_air_lag3,katulampa_air_lag4,katulampa_air_lag5,katulampa_air_lag14,katulampa_air_lag19,katulampa_air_lag21,manggarai_cuaca_lag1_hujan,manggarai_cuaca_lag2_hujan,manggarai_cuaca_lag4_hujan,manggarai_cuaca_lag5_hujan,manggarai_cuaca_lag7_hujan,manggarai_cuaca_lag9_hujan,manggarai_cuaca_lag12_hujan,manggarai_cuaca_lag19_hujan,depok_cuaca_lag1_hujan,depok_cuaca_lag2_hujan,depok_cuaca_lag4_hujan,depok_cuaca_lag5_hujan,depok_cuaca_lag6_hujan,depok_cuaca_lag7_hujan,depok_cuaca_lag9_hujan,depok_cuaca_lag22_hujan,katulampa_cuaca_lag14_hujan,katulampa_cuaca_lag18_hujan
14/11/2025 14:00,35774,-0.5,-0.866025404,-0.726224915,0.687457179,660,660,660,660,660,660,660,660,660,660,660,660,660,660,90,95,95,95,100,100,110,115,115,130,110,96,85,90,20,20,20,30,40,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/11/2025 15:00,35775,-0.707106781,-0.707106781,-0.726224915,0.687457179,660,660,660,660,660,660,660,660,660,660,660,660,660,660,90,95,95,95,95,100,110,110,115,125,115,110,85,85,20,20,20,30,40,40,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/11/2025 16:00,35776,-0.866025404,-0.5,-0.726224915,0.687457179,660,660,660,660,660,660,660,660,660,660,660,660,660,660,90,90,95,95,95,95,100,110,110,115,115,115,85,85,20,20,20,30,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/11/2025 17:00,35777,-0.965925826,-0.258819045,-0.726224915,0.687457179,660,660,660,660,660,660,660,660,660,660,660,660,660,660,90,90,90,95,95,95,100,100,110,115,130,115,96,85,20,20,20,30,30,40,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/11/2025 18:00,35778,-1,-1.84E-16,-0.726224915,0.687457179,660,660,660,660,660,660,660,660,660,660,660,660,660,660,90,90,90,90,95,95,95,100,100,110,125,130,110,96,20,20,20,30,30,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/11/2025 19:00,35779,-0.965925826,0.258819045,-0.726224915,0.687457179,660,660,660,660,660,660,660,660,660,660,660,660,660,660,90,90,90,90,90,95,95,95,100,110,115,125,115,110,20,20,20,30,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/11/2025 20:00,35780,-0.866025404,0.5,-0.726224915,0.687457179,660,660,660,660,660,660,660,660,660,660,660,660,660,660,90,90,90,90,90,90,95,95,95,100,115,115,115,115,20,20,20,30,30,30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14/11/2025 21:00,35781,-0.707106781,0.707106781,-0.726224915,0.687457179,660,660,660,660,660,660,660,660,660,660,660,660,660,660,90,90,90,90,90,90,95,95,95,100,110,115,130,115,30,20,20,30,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/11/2025 22:00,35782,-0.5,0.866025404,-0.726224915,0.687457179,660,660,660,660,660,660,660,660,660,660,660,660,660,660,90,90,90,90,90,90,90,95,95,95,110,110,125,130,30,30,20,30,30,30,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14/11/2025 23:00,35783,-0.258819045,0.965925826,-0.726224915,0.687457179,660,660,660,660,660,660,660,660,660,660,660,660,660,660,90,90,90,90,90,90,90,90,95,95,100,110,115,125,30,30,30,20,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
