,Nama Dataset,Model,Semua Variabel Signifikan,P-value Ljung Box,White Noise?,P-value Lillie Test,Distribusi Normal?,RMSE Training,RMSE Testing
0,Katulampa (air),"ARIMA(1,0,0)",Ya,0.000000,Tidak,0.001000,Tidak,6.0644,14.3387
1,Katulampa (air),"ARIMA(2,0,0)",Ya,0.000000,Tidak,0.001000,Tidak,6.1930,14.2829
2,Katulampa (air),"ARIMA(3,0,0)",Ya,0.000000,Tidak,0.001000,Tidak,6.2423,14.2621
3,Katulampa (air),"ARIMA(4,0,0)",Tidak,0.000000,Tidak,0.001000,Tidak,6.2769,14.2329
4,Katulampa (air),"ARIMA(5,0,0)",Tidak,0.000000,Tidak,0.001000,Tidak,6.2999,14.1918
5,Katulampa (air),"ARIMA(6,0,0)",Tidak,0.000000,Tidak,0.001000,Tidak,6.3147,14.1622
6,Katulampa (air),"ARIMA(7,0,0)",Tidak,0.000000,Tidak,0.001000,Tidak,6.3274,14.1278
7,Katulampa (air),"ARIMA(8,0,0)",Tidak,0.000000,Tidak,0.001000,Tidak,6.3390,14.0795
8,Katulampa (air),"ARIMA(9,0,0)",Tidak,0.000000,Tidak,0.001000,Tidak,6.3435,14.0096
9,Katulampa (air),"ARIMA(10,0,0)",Tidak,0.000000,Tidak,0.001000,Tidak,6.3416,13.9754
10,Katulampa (air),"ARIMA(11,0,0)",Tidak,0.005869,Tidak,0.001000,Tidak,6.3369,13.9206
11,Katulampa (air),"ARIMA(12,0,0)",Tidak,0.004452,Tidak,0.001000,Tidak,6.3274,13.8561
12,Katulampa (air),"ARIMA(13,0,0)",Tidak,0.003176,Tidak,0.001000,Tidak,6.3210,13.7742
13,Katulampa (air),"ARIMA(14,0,0)",Tidak,0.003648,Tidak,0.001000,Tidak,6.3212,13.6979
14,Katulampa (air),"ARIMA(15,0,0)",Tidak,0.009966,Tidak,0.001000,Tidak,6.2963,13.5804
15,Katulampa (air),"ARIMA(16,0,0)",Tidak,0.029515,Tidak,0.001000,Tidak,6.2802,13.4719
16,Katulampa (air),"ARIMA(17,0,0)",Tidak,0.089957,Ya,0.001000,Tidak,6.2754,13.3763
0,Katulampa (air),"ARIMA(0,0,1)",Ya,0.000000,Tidak,0.001000,Tidak,nan,14.7161
1,Katulampa (air),"ARIMA(0,0,2)",Ya,0.000000,Tidak,0.001000,Tidak,nan,14.7038
2,Katulampa (air),"ARIMA(0,0,3)",Ya,0.000000,Tidak,0.001000,Tidak,nan,14.6936
3,Katulampa (air),"ARIMA(0,0,4)",Ya,0.000000,Tidak,0.001000,Tidak,nan,14.6804
4,Katulampa (air),"ARIMA(0,0,5)",Ya,0.000000,Tidak,0.001000,Tidak,nan,14.6745
5,Katulampa (air),"ARIMA(0,0,6)",Ya,0.000000,Tidak,0.001000,Tidak,nan,14.6658
6,Katulampa (air),"ARIMA(0,0,7)",Ya,0.000000,Tidak,0.001000,Tidak,nan,14.6566
7,Katulampa (air),"ARIMA(0,0,8)",Ya,0.000000,Tidak,0.001000,Tidak,nan,14.6498
8,Katulampa (air),"ARIMA(0,0,9)",Ya,0.000000,Tidak,0.001000,Tidak,nan,14.6391
9,Katulampa (air),"ARIMA(0,0,10)",Ya,0.000000,Tidak,0.001000,Tidak,nan,14.6115
0,Katulampa (air),"ARIMA(0,0,11)",Ya,0.000000,Tidak,0.001000,Tidak,nan,14.6175
1,Katulampa (air),"ARIMA(0,0,12)",Ya,0.000000,Tidak,0.001000,Tidak,nan,14.6178
2,Katulampa (air),"ARIMA(0,0,13)",Ya,0.000000,Tidak,0.001000,Tidak,nan,14.6085
3,Katulampa (air),"ARIMA(0,0,14)",Ya,0.000000,Tidak,0.001000,Tidak,8.6139,14.6011
4,Katulampa (air),"ARIMA(0,0,15)",Ya,0.000000,Tidak,0.001000,Tidak,7.2263,14.6014
0,Katulampa (air),"ARIMA(0,0,16)",Ya,0.000000,Tidak,0.001000,Tidak,6.8257,14.6308
1,Katulampa (air),"ARIMA(0,0,17)",Ya,0.000000,Tidak,0.001000,Tidak,6.7751,14.5768
2,Katulampa (air),"ARIMA(0,0,18)",Ya,0.000000,Tidak,0.001000,Tidak,6.6462,14.5698
3,Katulampa (air),"ARIMA(0,0,19)",Ya,0.000000,Tidak,0.001000,Tidak,6.6099,14.5615
4,Katulampa (air),"ARIMA(0,0,20)",Ya,0.000000,Tidak,0.001000,Tidak,6.5727,14.5613
