,Nama Dataset,Model,Semua Variabel Signifikan,P-value Ljung Box,White Noise?,P-value Lillie Test,Distribusi Normal?,RMSE Training,RMSE Testing
0,Manggarai (air),"ARIMA(1,0,0)",Ya,0.000000,Tidak,0.001000,Tidak,21.4668,40.7089
1,Manggarai (air),"ARIMA(2,0,0)",Ya,0.000000,Tidak,0.001000,Tidak,19.8556,40.3410
2,Manggarai (air),"ARIMA(3,0,0)",Ya,0.000000,Tidak,0.001000,Tidak,19.7526,40.2858
3,Manggarai (air),"ARIMA(4,0,0)",Tidak,0.000000,Tidak,0.001000,Tidak,19.7515,40.2836
4,Manggarai (air),"ARIMA(5,0,0)",Tidak,0.000000,Tidak,0.001000,Tidak,19.7512,40.2918
5,Manggarai (air),"ARIMA(6,0,0)",Tidak,0.000000,Tidak,0.001000,Tidak,19.7511,40.2889
6,Manggarai (air),"ARIMA(7,0,0)",Tidak,0.000000,Tidak,0.001000,Tidak,19.7487,40.2744
7,Manggarai (air),"ARIMA(8,0,0)",Tidak,0.000000,Tidak,0.001000,Tidak,19.7414,40.2510
8,Manggarai (air),"ARIMA(9,0,0)",Tidak,0.000000,Tidak,0.001000,Tidak,19.7293,40.2251
9,Manggarai (air),"ARIMA(10,0,0)",Tidak,0.000000,Tidak,0.001000,Tidak,19.7197,40.2040
0,Manggarai (air),"ARIMA(0,0,1)",Ya,0.000000,Tidak,0.001000,Tidak,31.9612,42.5656
1,Manggarai (air),"ARIMA(0,0,2)",Ya,0.000000,Tidak,0.001000,Tidak,27.3017,42.4171
2,Manggarai (air),"ARIMA(0,0,3)",Ya,0.000000,Tidak,0.001000,Tidak,24.9531,42.2806
3,Manggarai (air),"ARIMA(0,0,4)",Ya,0.000000,Tidak,0.001000,Tidak,23.4915,42.1536
4,Manggarai (air),"ARIMA(0,0,5)",Ya,0.000000,Tidak,0.001000,Tidak,22.5255,42.0283
5,Manggarai (air),"ARIMA(0,0,6)",Ya,0.000000,Tidak,0.001000,Tidak,21.8819,41.9327
6,Manggarai (air),"ARIMA(0,0,7)",Ya,0.000000,Tidak,0.001000,Tidak,21.4373,41.8236
7,Manggarai (air),"ARIMA(0,0,8)",Ya,0.000000,Tidak,0.001000,Tidak,21.1194,41.7449
8,Manggarai (air),"ARIMA(0,0,9)",Ya,0.000000,Tidak,0.001000,Tidak,20.8919,41.6753
9,Manggarai (air),"ARIMA(0,0,10)",Ya,0.000000,Tidak,0.001000,Tidak,20.7075,41.6008
0,Manggarai (air),"ARIMA(0,0,11)",Ya,0.000000,Tidak,0.001000,Tidak,20.5692,41.5379
1,Manggarai (air),"ARIMA(0,0,12)",Ya,0.000000,Tidak,0.001000,Tidak,20.4521,41.4726
2,Manggarai (air),"ARIMA(0,0,13)",Ya,0.000000,Tidak,0.001000,Tidak,20.3583,41.4187
3,Manggarai (air),"ARIMA(0,0,14)",Ya,0.000000,Tidak,0.001000,Tidak,20.2810,41.3670
4,Manggarai (air),"ARIMA(0,0,15)",Ya,0.000000,Tidak,0.001000,Tidak,20.2094,41.3211
0,Manggarai (air),"ARIMA(0,0,16)",Ya,0.000000,Tidak,0.001000,Tidak,20.1605,41.2887
1,Manggarai (air),"ARIMA(0,0,17)",Ya,0.000000,Tidak,0.001000,Tidak,20.1185,41.2577
2,Manggarai (air),"ARIMA(0,0,18)",Ya,0.000000,Tidak,0.001000,Tidak,20.0978,41.2278
3,Manggarai (air),"ARIMA(0,0,19)",Ya,0.000000,Tidak,0.001000,Tidak,20.0919,41.2053
4,Manggarai (air),"ARIMA(0,0,20)",Ya,0.000000,Tidak,0.001000,Tidak,20.0408,41.1464
