,Nama Dataset,Model,Semua Variabel Signifikan,P-value Ljung Box,White Noise?,P-value Lillie Test,Distribusi Normal?,RMSE Training,RMSE Testing
0,Pasar Ikan (air),"ARIMA(1,0,0)",Ya,0.000000,Tidak,0.001000,Tidak,9.2351,23.4623
1,Pasar Ikan (air),"ARIMA(2,0,0)",Ya,0.000000,Tidak,0.001000,Tidak,8.3537,23.4397
2,Pasar Ikan (air),"ARIMA(3,0,0)",Ya,0.000000,Tidak,0.001000,Tidak,7.5238,23.3897
3,Pasar Ikan (air),"ARIMA(4,0,0)",Ya,0.000000,Tidak,0.001000,Tidak,7.2060,23.3124
4,Pasar Ikan (air),"ARIMA(5,0,0)",Ya,0.000000,Tidak,0.001000,Tidak,7.1495,23.2710
5,Pasar Ikan (air),"ARIMA(6,0,0)",Ya,0.000000,Tidak,0.001000,Tidak,7.1483,23.2621
6,Pasar Ikan (air),"ARIMA(7,0,0)",Tidak,0.000000,Tidak,0.001000,Tidak,7.1483,23.2624
0,Pasar Ikan (air),"ARIMA(7,0,0)",Tidak,0.000000,Tidak,0.001000,Tidak,7.1483,23.2624
1,Pasar Ikan (air),"ARIMA(8,0,0)",Tidak,0.000000,Tidak,0.001000,Tidak,7.1426,23.2422
2,Pasar Ikan (air),"ARIMA(9,0,0)",Ya,0.000000,Tidak,0.001000,Tidak,7.1281,23.2085
3,Pasar Ikan (air),"ARIMA(10,0,0)",Tidak,0.000000,Tidak,0.001000,Tidak,7.1098,23.1740
4,Pasar Ikan (air),"ARIMA(11,0,0)",Tidak,0.000000,Tidak,0.001000,Tidak,7.0894,23.1533
5,Pasar Ikan (air),"ARIMA(12,0,0)",Tidak,0.000000,Tidak,0.001000,Tidak,7.0774,23.1538
0,Pasar Ikan (air),"ARIMA(0,0,1)",Ya,0.000000,Tidak,0.001000,Tidak,16.4721,23.4850
1,Pasar Ikan (air),"ARIMA(0,0,2)",Ya,0.000000,Tidak,0.001000,Tidak,12.3285,23.4819
2,Pasar Ikan (air),"ARIMA(0,0,3)",Ya,0.000000,Tidak,0.001000,Tidak,10.3810,23.4750
3,Pasar Ikan (air),"ARIMA(0,0,4)",Ya,0.000000,Tidak,0.001000,Tidak,9.2558,23.4748
4,Pasar Ikan (air),"ARIMA(0,0,5)",Ya,0.000000,Tidak,0.001000,Tidak,8.5162,23.4669
5,Pasar Ikan (air),"ARIMA(0,0,6)",Ya,0.000000,Tidak,0.001000,Tidak,8.1222,23.4567
6,Pasar Ikan (air),"ARIMA(0,0,7)",Ya,0.000000,Tidak,0.001000,Tidak,7.8835,23.4532
7,Pasar Ikan (air),"ARIMA(0,0,8)",Ya,0.000000,Tidak,0.001000,Tidak,7.6218,23.4385
8,Pasar Ikan (air),"ARIMA(0,0,9)",Ya,0.000000,Tidak,0.001000,Tidak,7.4823,23.4276
9,Pasar Ikan (air),"ARIMA(0,0,10)",Ya,0.000000,Tidak,0.001000,Tidak,7.4217,23.4187
0,Pasar Ikan (air),"ARIMA(0,0,11)",Ya,0.000000,Tidak,0.001000,Tidak,7.3853,23.4097
1,Pasar Ikan (air),"ARIMA(0,0,12)",Ya,0.000000,Tidak,0.001000,Tidak,7.3614,23.4052
