learning_rate,n_estimators,max_depth,training_time_sec,train_rmse,train_mae,train_mape,train_r2,test_rmse,test_mae,test_mape,test_r2
BASELINE (0.1),BASELINE (100),BASELINE (6),3.034,12.61949911,3.17521989,0.00983536,0.91906479,14.75307321,2.24141828,0.00666234,0.30018119
0.005,200,3,6.4572,23.26065449,13.83235404,0.03100874,0.72502253,18.19237848,11.01964602,0.01993101,-0.06414199
0.005,200,4,0.9857,22.71007726,13.67322622,0.03046837,0.73788584,17.95815737,10.58428255,0.01926605,-0.0369174
0.005,200,5,1.1992,22.3181413,13.57112275,0.02975773,0.74685503,17.98307399,10.69323509,0.01943297,-0.0397968
0.005,200,6,2.0641,21.98040966,13.47709441,0.02922749,0.75445855,17.96205436,10.73335997,0.0194954,-0.03736747
0.005,200,7,1.7881,21.56068042,13.38184348,0.02882796,0.76374654,17.96071283,10.692558,0.01943079,-0.03721252
0.005,500,3,1.8923,17.0716929,5.74910976,0.017981,0.85188248,15.09719968,4.16698297,0.0095732,0.26715283
0.005,500,4,2.2615,16.49551285,5.49496259,0.01693884,0.86171187,15.03748833,4.18183397,0.00959394,0.27293838
0.005,500,5,2.6476,15.90559407,5.28135282,0.01563861,0.87142603,14.99010658,4.08475773,0.00944759,0.27751297
0.005,500,6,3.4344,15.16374203,5.06992563,0.01461453,0.88313996,14.96977136,3.98572846,0.00929624,0.27947186
0.005,500,7,3.6157,14.31134624,4.8798808,0.01382361,0.89590875,14.94873927,3.87742693,0.00912931,0.28149508
0.005,1000,3,3.1292,16.12446772,4.07229427,0.01499389,0.86786312,14.89910112,3.18126172,0.00808914,0.28625883
0.005,1000,4,3.7549,15.46799439,3.79125311,0.01361288,0.87840345,14.81527945,2.7385256,0.00741244,0.29426719
0.005,1000,5,4.4591,14.66470819,3.55280727,0.01211168,0.89070505,14.77773124,2.50100756,0.0070507,0.29783991
0.005,1000,6,7.4712,13.63338043,3.31270394,0.01087325,0.9055373,14.79114741,2.39083401,0.00688137,0.2965644
0.005,1000,7,10.9082,12.55233643,3.06920074,0.00982487,0.91992399,14.7889995,2.26105457,0.00668078,0.29676868
0.005,2000,3,8.1209,15.73243491,3.90341904,0.01424824,0.87421028,14.86777462,2.92533991,0.00770177,0.28925706
0.005,2000,4,8.9025,14.87864591,3.6452356,0.01265608,0.88749286,14.79243267,2.48649713,0.00703114,0.29644214
0.005,2000,5,10.2949,13.81078439,3.37504912,0.0110509,0.90306292,14.76478833,2.24685478,0.00666532,0.29906933
0.005,2000,6,13.3513,12.52888948,3.10831749,0.00976896,0.92022287,14.80738835,2.21079529,0.00660845,0.29501878
0.005,2000,7,16.7278,11.17159209,2.82211458,0.00862771,0.93657165,14.80611784,2.21521703,0.00661489,0.29513975
0.005,3000,3,10.4924,15.4367543,3.81575364,0.01368914,0.87889412,14.82800406,2.66027784,0.00729788,0.29305438
0.005,3000,4,12.4534,14.43182554,3.53834422,0.01200408,0.8941488,14.7961744,2.30007699,0.00674679,0.29608617
0.005,3000,5,15.2888,13.16718621,3.26172831,0.01043324,0.91188716,14.7834845,2.20184603,0.00659671,0.29729307
0.005,3000,6,19.087,11.63687566,2.97004904,0.00908503,0.9311782,14.84393993,2.24953336,0.00666949,0.29153404
0.005,3000,7,24.7726,10.04967857,2.65131282,0.00787373,0.94867161,14.84862208,2.26094123,0.00668787,0.29108703
0.01,200,3,0.794,17.87191159,7.10157009,0.02021338,0.83767131,15.39593522,5.22107937,0.01116363,0.23786349
0.01,200,4,1.0402,17.27778579,6.85885718,0.01924117,0.84828468,15.33722061,5.28075025,0.01125474,0.24366544
0.01,200,5,1.2596,16.72026574,6.70023819,0.01811429,0.85791782,15.30678325,5.25612908,0.01121838,0.24666442
0.01,200,6,1.8063,16.11725669,6.52268149,0.01728605,0.86798128,15.2696962,5.1604818,0.01107224,0.25031054
0.01,200,7,1.9833,15.35279804,6.34999022,0.01657385,0.88020786,15.22710864,5.09945051,0.01097824,0.25448651
0.01,500,3,1.9917,16.11533358,4.06780436,0.01494799,0.86801279,14.90012803,3.21810275,0.00814447,0.28616044
0.01,500,4,2.274,15.47612795,3.77598576,0.01359764,0.87827553,14.80891456,2.69573794,0.00734765,0.29487345
0.01,500,5,2.7825,14.69308357,3.55422024,0.0121173,0.89028168,14.78352614,2.53841453,0.00710794,0.29728911
0.01,500,6,3.5728,13.66994798,3.31881619,0.01092067,0.90502988,14.79818074,2.3847688,0.00687137,0.29589526
0.01,500,7,4.5448,12.54802846,3.07325044,0.00983521,0.91997895,14.7745964,2.25991572,0.00668041,0.29813778
0.01,1000,3,3.6068,15.71159328,3.88766139,0.01412529,0.87454334,14.86214254,2.92833787,0.00770576,0.28979544
0.01,1000,4,4.2892,14.88769876,3.62860468,0.01261101,0.88735591,14.78642525,2.46671986,0.00700109,0.29701348
0.01,1000,5,5.1959,13.81780914,3.36506849,0.01103444,0.90296428,14.77113148,2.24196159,0.00665747,0.29846694
0.01,1000,6,6.5623,12.58838559,3.10888022,0.0097958,0.91946339,14.80591183,2.206811,0.00660292,0.29515937
0.01,1000,7,8.6722,11.22253253,2.82610248,0.00866228,0.93599189,14.80581627,2.20975025,0.00660871,0.29516847
0.01,2000,3,7.2374,15.19262568,3.72643365,0.01324972,0.88269435,14.81655308,2.5342172,0.00710579,0.29414584
0.01,2000,4,8.2957,14.09090276,3.46498068,0.01154296,0.89909077,14.81858854,2.25545674,0.00667804,0.29395189
