Seq,Unit,Dropout,LR,Batch Size,Epoch,training_time_sec,train_rmse,train_mae,train_mape,train_r2,test_rmse,test_mae,test_mape,test_r2
24,"[32, 16]",0.4,0.0005,32,14,193.88,17.4306761,6.89190458,0.02146953,0.8550945,15.45555168,4.66537656,0.01039377,0.24030102
24,"[32, 16]",0.4,0.001,32,10,135.57,17.33689544,6.55563762,0.02089983,0.85664955,15.27924402,4.52858535,0.0101861,0.25753455
24,"[32, 16]",0.6,0.0005,32,17,227.24,19.28694633,9.11713095,0.02531192,0.82258785,15.38075464,4.12511961,0.00958129,0.24763635
24,"[32, 16]",0.6,0.001,32,9,115.07,20.10889133,10.29288897,0.02739716,0.80714422,15.34697499,3.867588,0.00917728,0.25093744
24,[32],0.4,0.0005,32,16,145.63,16.54842689,4.81138758,0.01793609,0.86939198,15.45979036,4.64088911,0.01036671,0.23988427
24,[32],0.4,0.001,32,20,183.65,17.01540365,6.02489555,0.02021273,0.86191678,15.23692543,3.94903464,0.00930818,0.26164163
24,[32],0.6,0.0005,32,11,98.01,17.24184257,6.2097325,0.02003827,0.85821713,15.4647271,4.86329599,0.01068147,0.23939874
24,[32],0.6,0.001,32,8,72.96,18.00229656,7.23853836,0.02184933,0.84543462,15.36490283,4.11919353,0.00952931,0.24918636
24,[64],0.4,0.0005,32,13,119.61,16.51679109,4.85047321,0.01809441,0.86989088,15.30753282,3.9694336,0.00933704,0.25478272
24,[64],0.4,0.001,32,18,172.2,16.381384,4.51339406,0.01748573,0.87201544,15.31399916,4.67020411,0.01040922,0.25415299
24,[64],0.6,0.0005,32,14,129.16,16.68879444,5.19678162,0.0186733,0.86716689,15.36982966,4.29243296,0.0098383,0.24870478
24,[64],0.6,0.001,32,10,91.14,16.93685371,5.55452551,0.01912165,0.86318873,15.29857392,3.81245263,0.00910121,0.25565476
36,"[32, 16]",0.4,0.0005,32,21,314.12,18.96349204,9.70489503,0.02447323,0.8273386,15.21849297,3.65630776,0.00888978,0.2679747
36,"[32, 16]",0.4,0.001,32,9,136.49,17.291827,6.53820946,0.01857114,0.8564377,15.33746859,3.97071852,0.00935135,0.25648426
36,"[32, 16]",0.6,0.0005,32,17,249.14,22.28284545,13.19852388,0.03047138,0.76160347,15.3238641,4.16295732,0.00966041,0.25780269
36,"[32, 16]",0.6,0.001,32,7,98.37,18.21974837,7.79676039,0.02051217,0.84061649,15.84584351,4.97555326,0.01091389,0.20637833
36,[32],0.4,0.0005,32,17,168.18,16.64688094,6.00451476,0.01802368,0.86694709,15.46192912,4.8203234,0.01065889,0.24436833
36,[32],0.4,0.001,32,18,177.45,16.57931183,5.90788761,0.01791968,0.86802501,15.27800482,4.05926197,0.00950148,0.26223834
36,[32],0.6,0.0005,32,12,125.03,16.8546004,5.93918109,0.01762144,0.86360591,15.49407671,4.13441676,0.00958993,0.24122293
36,[32],0.6,0.001,32,9,89.62,17.47953733,7.17136952,0.01976883,0.85330392,15.44039784,4.41611989,0.01002692,0.24647135
36,[64],0.4,0.0005,32,18,179.73,16.12631872,4.69781963,0.01580048,0.87513834,15.4545933,4.70437671,0.0104872,0.24508517
36,[64],0.4,0.001,32,9,94.49,16.20195503,4.76465183,0.01593677,0.87396433,15.42761782,4.67299311,0.01043373,0.24771823
36,[64],0.6,0.0005,32,16,161.84,16.33471084,5.08612889,0.01642304,0.87189044,15.33976706,4.51687657,0.01020766,0.2562614
36,[64],0.6,0.001,32,10,100.58,16.60517168,5.7677698,0.0176087,0.86761299,15.38710436,4.51145684,0.010171,0.25166408
48,"[32, 16]",0.4,0.0005,32,15,235.95,17.6154921,7.55308714,0.02056667,0.85105796,15.28539366,4.05086561,0.00951215,0.26611177
48,"[32, 16]",0.4,0.001,32,11,177.1,17.87848254,8.05577724,0.0216085,0.8465775,15.16519649,3.37963986,0.00849273,0.2776083
48,"[32, 16]",0.6,0.0005,32,10,162.73,18.14742773,7.85992734,0.02073449,0.84192693,15.68394106,4.57990123,0.01031427,0.22734242
48,"[32, 16]",0.6,0.001,32,8,129.3,19.35756108,8.81653116,0.02204067,0.82014231,16.31060963,6.262262,0.01282944,0.16436417
48,[32],0.4,0.0005,32,17,183.68,16.37532589,5.34618626,0.01684243,0.87129138,15.34758887,4.1370724,0.00963984,0.26012734
48,[32],0.4,0.001,32,11,116.02,16.53130079,5.65700276,0.01740878,0.8688278,15.42185771,4.90954393,0.01080455,0.25294935
48,[32],0.6,0.0005,32,12,127.39,17.38713702,7.02989798,0.01958111,0.85489449,15.4280082,3.84720887,0.00919694,0.25235336
48,[32],0.6,0.001,32,9,91.98,16.96249727,6.31826018,0.01834176,0.86189566,15.42059944,3.65502312,0.0089078,0.25307125
48,[64],0.4,0.0005,32,16,170.76,16.05222557,4.44684658,0.01542001,0.87632035,15.2883178,3.73086257,0.00902809,0.26583096
48,[64],0.4,0.001,32,11,119.62,16.11856944,4.76922336,0.01596234,0.8752959,15.31872265,4.05045822,0.00951159,0.26290787
48,[64],0.6,0.0005,32,18,199.7,16.47455243,5.50403192,0.01715699,0.86972683,15.30684709,3.96637707,0.00937332,0.26405027
48,[64],0.6,0.001,32,12,129.89,16.58238012,5.70481582,0.01756786,0.86801594,15.25873685,3.9047672,0.00929456,0.26866925
