learning_rate,n_estimators,max_depth,training_time_sec,train_rmse,train_mae,train_mape,train_r2,test_rmse,test_mae,test_mape,test_r2
BASELINE,BASELINE,BASELINE,6.3987,7.25078272,2.77265717,0.00663034,0.97328083,32.96946006,7.38357385,0.01438121,-2.49497669
0.001,50,1,0.6404,43.22318208,31.99089855,0.05999152,0.05051801,29.76761767,24.90859634,0.04090713,-1.84910708
0.001,50,2,0.9161,42.7811014,31.92748719,0.05989521,0.06984102,30.04863154,25.34011619,0.0415667,-1.90315358
0.001,50,3,0.7517,42.60481016,31.88127081,0.05982609,0.07749118,30.07916479,25.47067349,0.04176951,-1.90905653
0.001,50,4,0.7469,42.55468048,31.85056552,0.05976269,0.07966079,29.97335193,25.31961281,0.04153898,-1.8886255
0.001,50,5,0.9527,42.53014193,31.84490738,0.0597282,0.08072188,29.9521527,25.3191233,0.04153908,-1.88454087
0.001,50,6,1.1263,42.50778987,31.84021147,0.05968539,0.08168789,29.94919279,25.31723067,0.04153627,-1.88397079
0.001,50,7,1.3857,42.48148049,31.83155626,0.05965149,0.08282429,29.94893416,25.31801003,0.0415375,-1.88392098
0.001,50,8,3.4964,42.46077337,31.82437726,0.05962533,0.0837182,29.94203532,25.31035786,0.04152589,-1.88259249
0.001,50,9,1.7621,42.44659496,31.82011099,0.05961189,0.08433003,29.93961564,25.30650524,0.04152,-1.88212661
0.001,100,1,0.8849,42.15879143,30.62901856,0.0578062,0.09670509,28.54967429,23.38899139,0.03859964,-1.62073392
0.001,100,2,1.0717,41.28352585,30.52015424,0.05764592,0.13382265,29.06078968,24.22634983,0.03988067,-1.71541015
0.001,100,3,0.9625,40.93782706,30.44744784,0.05753738,0.14826826,29.06702176,24.40555359,0.04016086,-1.71657491
0.001,100,4,1.1284,40.84178215,30.39201994,0.05741074,0.15226009,28.89682637,24.15150817,0.03977291,-1.68485546
0.001,100,5,1.2097,40.79379927,30.38107906,0.05733826,0.15425085,28.85945658,24.15068088,0.03977312,-1.67791577
0.001,100,6,1.4845,40.74900247,30.37168059,0.05725444,0.15610731,28.85735098,24.15048136,0.03977287,-1.67752502
0.001,100,7,1.9841,40.69621784,30.35456117,0.05718883,0.15829219,28.85426385,24.14895558,0.03977063,-1.67695217
0.001,100,8,2.1966,40.65594886,30.34116834,0.05714225,0.15995711,28.84037124,24.13504588,0.03974959,-1.67437502
0.001,100,9,2.6657,40.62821442,30.33332549,0.0571173,0.16110283,28.83481851,24.12637906,0.03973637,-1.67334531
0.001,200,1,1.3359,40.24036358,28.17529812,0.0538692,0.17704318,26.33145567,20.50590495,0.03422173,-1.22930942
0.001,200,2,1.6322,38.54055279,27.89896069,0.05345674,0.2451005,27.27637468,22.18535401,0.03679188,-1.3921803
0.001,200,3,1.702,37.89036061,27.77514996,0.0532708,0.27035647,27.13194322,22.29188811,0.03696623,-1.36691364
0.001,200,4,1.8179,37.70740592,27.68870034,0.05305862,0.27738567,26.92330444,21.9732196,0.03647962,-1.3306515
0.001,200,5,2.1762,37.61190962,27.66744728,0.05291193,0.28104116,26.87820371,21.98762427,0.0365038,-1.32284963
0.001,200,6,4.4819,37.5179151,27.64772177,0.05274982,0.28463012,26.8747249,21.98817662,0.03650474,-1.32224838
0.001,200,7,3.1577,37.40740702,27.61538973,0.05262341,0.28883812,26.86632752,21.98279566,0.0364967,-1.32079737
0.001,200,8,4.0311,37.32720106,27.59088232,0.05253815,0.29188448,26.8442242,21.9583548,0.03645961,-1.31698023
0.001,200,9,5.5568,37.2709277,27.57559834,0.05248963,0.29401794,26.83908628,21.94685947,0.03644194,-1.31609339
0.001,500,1,2.7363,35.62718248,23.22046105,0.04596849,0.35491608,22.24481347,15.67180523,0.02691568,-0.5910292
0.001,500,2,3.9922,31.91065103,21.49231567,0.04322502,0.48248304,22.68333558,16.48345538,0.028159,-0.65437687
0.001,500,3,3.749,30.64574295,21.18324798,0.04274441,0.52269766,22.60343035,17.03794407,0.02902555,-0.64274185
0.001,500,4,4.9582,30.25579187,21.04384773,0.04234461,0.53476722,22.33709621,16.62528882,0.02839603,-0.60425737
0.001,500,5,7.1678,30.03240925,20.99291845,0.04198669,0.54161161,22.27561742,16.63321472,0.02841078,-0.59543867
0.001,500,6,6.1303,29.78233256,20.94544313,0.0416229,0.54921373,22.27451353,16.64495597,0.02842888,-0.59528055
0.001,500,7,9.1021,29.46273294,20.87484371,0.04131991,0.55883676,22.26404226,16.64175965,0.02842403,-0.59378102
0.001,500,8,10.6707,29.24810409,20.82342022,0.04113396,0.56524088,22.22912273,16.5968602,0.02835564,-0.58878548
0.001,500,9,15.0502,29.09525434,20.78453351,0.04101536,0.56977309,22.22045585,16.57251475,0.02831814,-0.58754682
0.001,1000,1,5.609,30.20553243,17.95332243,0.03759756,0.53631158,19.13511687,11.84749171,0.02115415,-0.17728837
0.001,1000,2,5.7486,24.77595618,14.47906455,0.03204777,0.68802908,18.08854933,10.1883703,0.01864689,-0.05202992
0.001,1000,3,10.7995,23.25885702,13.85594866,0.03102685,0.72506502,18.24450875,11.06872722,0.02000505,-0.07024932
0.001,1000,4,8.2586,22.69650085,13.69348431,0.03043056,0.73819914,17.96198691,10.60875127,0.01930375,-0.03735968
0.001,1000,5,9.5474,22.29768055,13.59353648,0.02976314,0.74731897,17.96559753,10.66635668,0.01939225,-0.03777677
0.001,1000,6,12.215,21.77729092,13.49651283,0.02911673,0.75897563,17.9513813,10.68457328,0.01942061,-0.03613503
0.001,1000,7,16.7144,21.04803206,13.37533059,0.02857677,0.77484777,17.90918015,10.66075995,0.01938472,-0.03126915
0.001,1000,8,24.4227,20.52622651,13.27886369,0.02820476,0.78587297,17.88262081,10.59903104,0.01929015,-0.02821267
0.001,1000,9,30.5072,20.16307206,13.19672997,0.02794423,0.79338271,17.86865708,10.54498482,0.01920696,-0.02660752
0.001,2000,1,10.3938,23.93680616,12.25949445,0.02852899,0.70880383,16.65171082,7.94230239,0.01526586,0.10846513
0.001,2000,2,11.7302,18.8412837,7.93615456,0.0216044,0.81958434,15.55476875,5.37041704,0.01138581,0.22205708
0.001,2000,3,16.5069,17.84971823,7.13953213,0.02019798,0.83807422,15.41040412,5.24735624,0.01120424,0.23643033
0.001,2000,4,16.9602,17.22393781,6.89506545,0.01919291,0.84922888,15.34068153,5.31130514,0.01130139,0.24332406
0.001,2000,5,24.0294,16.56832959,6.72539849,0.01805667,0.86048827,15.30474013,5.25412868,0.01121542,0.24686552
0.001,2000,6,27.5315,15.51554247,6.53695676,0.01700151,0.87765473,15.28830327,5.19011953,0.01111677,0.24848234
0.001,2000,7,34.9897,14.09269393,6.33122087,0.01611736,0.89906511,15.2474582,5.11557031,0.01100223,0.25249256
0.001,2000,8,42.4811,12.99593124,6.14981579,0.01545258,0.91416428,15.23155659,5.01962372,0.01085523,0.25405091
0.001,2000,9,59.1262,12.16376916,5.99368559,0.01491771,0.92480489,15.23594784,4.94616501,0.01074178,0.25362073
0.001,3000,1,13.2796,20.67642086,9.24728807,0.02372312,0.78272789,15.75098419,5.98021751,0.01230755,0.20230659
0.001,3000,2,18.3764,17.21805086,5.54702415,0.01776177,0.84933193,15.18429911,4.01787289,0.0093499,0.25867249
0.001,3000,3,18.996,16.59120581,4.97068601,0.01655678,0.86010276,14.9790587,3.60848187,0.0087308,0.27857754
0.001,3000,4,24.7628,15.94285242,4.67720294,0.0153618,0.87082297,14.90445008,3.476181,0.00852662,0.28574625
0.001,3000,5,32.8093,15.10178111,4.43751833,0.01393519,0.88409302,14.87996521,3.40126003,0.00841388,0.28809106
0.001,3000,6,40.9015,13.70597544,4.19652598,0.01260757,0.90452863,14.87397064,3.32119611,0.00829106,0.28866455
0.001,3000,7,53.682,11.95403903,3.92362355,0.01143348,0.92737559,14.86210769,3.23308818,0.00815476,0.28979877
0.001,3000,8,70.2909,10.54967782,3.6882294,0.01054597,0.9434371,14.8581542,3.13158552,0.00799845,0.29017656
0.001,3000,9,84.7632,9.47034313,3.48695921,0.0098426,0.95441891,14.87814294,3.13494798,0.00800279,0.28826542
0.005,50,1,0.498,39.37205674,27.10003503,0.05214477,0.21217553,25.30001627,19.09857492,0.03208472,-1.05807982
0.005,50,2,2.8051,37.2929513,26.69675767,0.05153319,0.29318336,26.44600047,21.19459319,0.03529155,-1.2487471
0.005,50,3,0.7856,36.50498165,26.5491663,0.05131344,0.32273672,26.3414334,21.45023375,0.03569637,-1.23099924
0.005,50,4,0.9246,36.27540055,26.43153256,0.05105115,0.3312286,26.04156896,20.96628084,0.03495676,-1.18049405
0.005,50,5,0.917,36.15583891,26.4070298,0.05087904,0.3356298,25.97326388,20.97475776,0.03497263,-1.16907051
