learning_rate,n_estimators,max_depth,training_time_sec,train_rmse,train_mae,train_mape,train_r2,test_rmse,test_mae,test_mape,test_r2
BASELINE,BASELINE,BASELINE,5.8633,7.25078272,2.77265717,0.00663034,0.97328083,32.96946006,7.38357385,0.01438121,-2.49497669
0.05,30,4,9.5825,18.83178198,9.18648954,0.02297882,0.81976626,15.97632773,6.94189245,0.01376334,0.1793187
0.05,30,5,1.232,18.28629003,9.05829566,0.02214421,0.83005654,16.02453186,7.11482348,0.01402592,0.17435888
0.05,30,6,1.1031,17.5324916,8.89913374,0.02134955,0.8437786,15.99112121,7.02405444,0.01388871,0.17779816
0.1,30,4,0.9082,15.92114502,4.52877745,0.0150368,0.87117449,14.90793603,3.38759659,0.00839276,0.2854121
0.1,30,5,1.0397,15.08964566,4.29547467,0.01362314,0.88427922,14.84718753,3.21859847,0.00813742,0.291224
0.1,30,6,1.5892,13.66467319,4.08315943,0.01250725,0.90510316,14.90620301,3.22627958,0.00814584,0.28557823
0.2,30,4,0.8108,14.83086252,3.7756989,0.01324346,0.88821434,14.96641705,3.01463489,0.0078319,0.27979472
0.2,30,5,0.9012,13.55263361,3.51859289,0.01150941,0.90665294,15.32125023,3.07703852,0.00791466,0.24523974
0.2,30,6,0.9527,11.95318824,3.25608422,0.01028025,0.92738593,15.27587023,2.93420762,0.00769728,0.24970417
