learning_rate,n_estimators,max_depth,training_time_sec,train_rmse,train_mae,train_mape,train_r2,test_rmse,test_mae,test_mape,test_r2
BASELINE,BASELINE,BASELINE,3.5056,7.87083807,2.84005279,0.00705757,0.96851561,24.69610177,5.92856059,0.01221772,-0.96099925
0.001,50,1,0.4735,43.21667092,31.98204025,0.05997816,0.05080405,29.7597351,24.89876207,0.04089219,-1.84759838
0.001,50,2,0.4412,42.76919457,31.92101555,0.05988613,0.07035871,30.03930673,25.32539112,0.04154421,-1.90135202
0.001,50,3,0.5272,42.59090159,31.87384369,0.05981579,0.0780934,30.07374199,25.46898871,0.04176724,-1.90800771
0.001,50,4,0.5433,42.54393141,31.84419158,0.05975661,0.08012567,29.97273681,25.32155447,0.04154211,-1.88850694
0.001,50,5,0.6908,42.52067472,31.83935703,0.05971876,0.0811311,29.94677258,25.31601768,0.04153455,-1.8835047
0.001,50,6,0.9168,42.49849284,31.8351803,0.05967479,0.08208955,29.9463025,25.31542006,0.04153362,-1.88341417
0.001,50,7,1.0919,42.47374016,31.82642374,0.05964328,0.08315848,29.94491073,25.31536025,0.04153359,-1.88314616
0.001,50,8,1.5295,42.45516077,31.81976692,0.0596192,0.08396042,29.93864362,25.30805682,0.0415225,-1.88193947
0.001,50,9,2.1484,42.44154314,31.81600342,0.05960506,0.08454797,29.93601305,25.30363795,0.04151574,-1.88143305
0.001,100,1,0.8879,42.15268059,30.62178605,0.05779537,0.09696693,28.5424344,23.37964038,0.03858544,-1.61940491
0.001,100,2,1.2251,41.27278742,30.51215425,0.05763461,0.1342732,29.05534474,24.22200893,0.03987423,-1.71439271
0.001,100,3,1.1086,40.92579746,30.44009498,0.0575268,0.14876875,29.06193578,24.40167346,0.04015513,-1.71562433
0.001,100,4,1.0766,40.83329732,30.38535943,0.05741173,0.15261229,28.89840873,24.1532984,0.0397757,-1.68514951
0.001,100,5,3.5316,40.78530598,30.37566151,0.05732992,0.15460299,28.85638572,24.14925089,0.03977107,-1.6773459
0.001,100,6,1.7583,40.74026904,30.36673372,0.05724607,0.15646901,28.8565025,24.15039892,0.03977281,-1.67736757
0.001,100,7,2.384,40.69100026,30.34984804,0.05718478,0.158508,28.85023801,24.14603289,0.03976629,-1.67620523
0.001,100,8,2.7647,40.65422151,30.33644722,0.05713861,0.16002849,28.83858063,24.13281451,0.03974621,-1.67404294
0.001,100,9,3.1428,40.62777069,30.32849925,0.05711161,0.16112115,28.83406545,24.12381333,0.03973239,-1.67320567
0.001,200,1,0.8465,40.23224503,28.16418863,0.0538525,0.17737521,26.32256069,20.49329388,0.03420258,-1.22780352
0.001,200,2,1.4276,38.52566288,27.88640183,0.05343905,0.24568369,27.26907793,22.17644192,0.03677843,-1.3909006
0.001,200,3,1.5528,37.87245633,27.76359878,0.0532544,0.27104586,27.12591526,22.28323344,0.03695316,-1.36586204
0.001,200,4,1.9277,37.69594691,27.67873928,0.05306815,0.2778248,26.92402771,21.97233237,0.03647835,-1.33077672
0.001,200,5,2.3424,37.6000931,27.65914764,0.0529054,0.28149284,26.86949193,21.98142585,0.03649462,-1.32134411
0.001,200,6,2.7376,37.509018,27.6412893,0.05274194,0.28496937,26.8709393,21.98509319,0.03650015,-1.3215942
0.001,200,7,3.5636,37.40424614,27.60848758,0.05262032,0.2889583,26.86037344,21.978078,0.03648969,-1.31976882
0.001,200,8,4.5298,37.3310515,27.58421717,0.05253639,0.29173839,26.8433921,21.95540624,0.03645508,-1.3168366
0.001,200,9,8.3824,37.27693124,27.56863652,0.05248439,0.29379049,26.83326113,21.93409493,0.03642226,-1.31508813
0.001,500,1,1.8529,35.61846841,23.21395187,0.0459585,0.35523161,22.26419856,15.69308724,0.02694792,-0.59380339
0.001,500,2,2.6234,31.89304749,21.48017009,0.04320789,0.48305386,22.6775325,16.47927088,0.02815294,-0.6535305
0.001,500,3,3.4068,30.62687123,21.17181846,0.04272655,0.52328532,22.60823913,17.03942438,0.02902782,-0.6434409
0.001,500,4,4.2021,30.24626241,21.03518062,0.04237018,0.53506024,22.33326922,16.62370532,0.02839384,-0.60370771
0.001,500,5,4.9591,30.02234312,20.98273823,0.04199481,0.54191884,22.27178748,16.62890185,0.02840437,-0.5948901
0.001,500,6,6.0664,29.78369798,20.93866564,0.04162018,0.5491724,22.27837187,16.64181505,0.02842382,-0.59583326
0.001,500,7,11.5556,29.4820502,20.86762497,0.0413313,0.55825807,22.26714004,16.63823097,0.02841841,-0.59422456
0.001,500,8,11.6235,29.28305029,20.81404141,0.04114069,0.56420134,22.24353703,16.60119919,0.02836163,-0.59084662
0.001,500,9,19.4352,29.13489663,20.77582702,0.04101812,0.56859992,22.22957297,16.56553452,0.02830666,-0.58884984
0.001,1000,1,3.9143,30.20367787,17.9626184,0.03760974,0.53636852,19.14207822,11.85923337,0.02117195,-0.17814512
0.001,1000,2,4.9216,24.77592654,14.47843421,0.03204448,0.68802983,18.09760981,10.21949314,0.01869451,-0.0530841
0.001,1000,3,6.1095,23.26093641,13.8574612,0.03102707,0.72501586,18.23951434,11.06341471,0.01999698,-0.06966345
0.001,1000,4,7.5651,22.70659308,13.69186183,0.03047909,0.73796626,17.9675357,10.60752251,0.01930146,-0.0380007
0.001,1000,5,12.0346,22.30582299,13.5917823,0.02979894,0.74713439,17.96462489,10.66503981,0.0193902,-0.03766441
0.001,1000,6,15.0076,21.80888916,13.49333707,0.02911969,0.75827568,17.96765835,10.69010249,0.01942835,-0.03801487
0.001,1000,7,20.8729,21.12904368,13.37102344,0.02859872,0.77311126,17.93833149,10.67155385,0.01939994,-0.03462914
0.001,1000,8,26.1913,20.64759159,13.27545359,0.02823319,0.78333335,17.91140987,10.6040094,0.01929606,-0.03152595
0.001,1000,9,35.2474,20.30273807,13.1940443,0.02797559,0.79051039,17.90664315,10.55879235,0.01922592,-0.03097699
0.001,2000,1,8.2042,23.93733591,12.25844315,0.0285252,0.70879094,16.65070275,7.94359556,0.0152678,0.10857307
0.001,2000,2,9.7206,18.84117199,7.94519561,0.02161877,0.81958648,15.55608862,5.3775447,0.0113967,0.22192505
0.001,2000,3,14.6814,17.84994469,7.13797058,0.02019608,0.83807011,15.41247778,5.24227755,0.01119611,0.23622482
0.001,2000,4,15.5432,17.25217439,6.88725968,0.01929874,0.84873413,15.34266513,5.31588871,0.01130808,0.24312837
0.001,2000,5,21.4097,16.60818365,6.71910885,0.01816038,0.85981629,15.31193884,5.24949796,0.01120794,0.24615686
0.001,2000,6,32.6323,15.63597521,6.52896048,0.01703284,0.87574805,15.31072071,5.1964425,0.0111257,0.2462768
0.001,2000,7,42.6592,14.30217541,6.32575848,0.0161423,0.89604211,15.28712025,5.12940853,0.01102208,0.24859864
0.001,2000,8,52.7947,13.26335795,6.15339406,0.01548386,0.91059532,15.26602445,5.0191747,0.01085293,0.25067103
0.001,2000,9,75.5206,12.44015555,6.00201247,0.01495357,0.92134889,15.28744761,4.96203658,0.01076394,0.24856646
0.001,3000,1,13.411,20.67663359,9.25407693,0.02373093,0.78272342,15.75771679,6.00517884,0.01234535,0.20162451
0.001,3000,2,21.0944,17.21740653,5.54629958,0.01776103,0.8493432,15.18615321,4.02828334,0.00936564,0.25849144
0.001,3000,3,19.531,16.60334367,4.95937701,0.01655235,0.85989799,14.98770585,3.59961187,0.00871679,0.27774437
0.001,3000,4,27.2361,15.98784443,4.65503695,0.01546393,0.87009284,14.91039398,3.45597867,0.00849544,0.28517645
0.001,3000,5,35.932,15.19110223,4.41981008,0.01409919,0.88271787,14.88396082,3.37062571,0.00836729,0.28770868
0.001,3000,6,48.8595,13.90064194,4.17732231,0.01268889,0.9017974,14.89832103,3.29886339,0.00825686,0.28633357
0.001,3000,7,64.3501,12.22594309,3.92557033,0.01148849,0.92403422,14.90032792,3.24730339,0.00817599,0.28614128
