learning_rate,n_estimators,max_depth,training_time_sec,train_rmse,train_mae,train_mape,train_r2,test_rmse,test_mae,test_mape,test_r2
BASELINE,BASELINE,BASELINE,3.9643,8.53243647,2.93847906,0.00739906,0.9630002,30.89913386,12.11296547,0.02144645,-2.06982222
0.05,30,6,0.76,17.71056102,8.93337682,0.02143482,0.84058914,15.991143,7.02641641,0.01389087,0.17779592
0.05,30,7,0.711,16.71248986,8.75591001,0.02062891,0.85804994,15.92555662,6.93865308,0.01375704,0.18452649
0.05,30,8,0.7614,16.00012675,8.62556911,0.02014971,0.86989317,15.93406488,6.90035861,0.01369693,0.18365493
0.1,30,6,0.5304,14.15627631,4.143112,0.01273804,0.89815228,14.89107013,3.25424754,0.00818564,0.28702807
0.1,30,7,1.1228,12.60531148,3.91151822,0.01152824,0.91924667,14.82394891,3.11161087,0.00797271,0.293441
0.1,30,8,1.1428,11.39463556,3.69869714,0.01068425,0.93401365,14.88484518,2.89933326,0.00764508,0.28762404
0.2,30,6,0.9664,12.45951944,3.39195646,0.01053577,0.92110384,15.65033326,3.24973012,0.00818325,0.21246875
0.2,30,7,0.9575,11.34290326,3.14801719,0.00934856,0.93461145,15.32134044,2.61227298,0.0072213,0.24523085
0.2,30,8,0.7776,9.77866525,2.84166538,0.00813684,0.95140267,15.19240131,2.85334706,0.00758684,0.25788115
