learning_rate,n_estimators,max_depth,training_time_sec,train_rmse,train_mae,train_mape,train_r2,test_rmse,test_mae,test_mape,test_r2
BASELINE,BASELINE,BASELINE,0.9116,8.53243647,2.93847906,0.00739906,0.9630002,30.89913386,12.11296547,0.02144645,-2.06982222
0.001,50,1,0.2154,43.22954475,31.99342543,0.05999456,0.05023845,29.7816559,24.92593995,0.04093346,-1.85179496
0.001,50,2,0.3354,42.79092385,31.93267954,0.05990256,0.06941385,30.05731069,25.35509581,0.04158964,-1.9048309
0.001,50,3,0.3103,42.61486522,31.88637367,0.05983291,0.07705569,30.07194447,25.45862625,0.04175104,-1.90766009
0.001,50,4,0.4133,42.5642753,31.85634511,0.05977517,0.07924572,29.97374416,25.31984753,0.0415393,-1.8887011
0.001,50,5,0.3519,42.53800801,31.85007618,0.05973671,0.0803818,29.95580831,25.32097986,0.04154177,-1.88524502
0.001,50,6,0.3937,42.51644087,31.84429832,0.05969281,0.08131408,29.95269774,25.31914744,0.04153905,-1.88464585
0.001,50,7,0.3635,42.4895838,31.83493328,0.05965708,0.08247435,29.95321758,25.32009055,0.04154049,-1.88474598
0.001,50,8,0.405,42.47227936,31.82825946,0.05963498,0.08322155,29.9475881,25.31172679,0.04152769,-1.88366175
0.001,50,9,0.4716,42.46088856,31.82395082,0.05962267,0.08371323,29.94526369,25.30730829,0.0415209,-1.88321413
0.001,100,1,0.2742,42.16362264,30.63672817,0.05781824,0.09649805,28.5523146,23.39247957,0.03860493,-1.62121868
0.001,100,2,0.2678,41.29144767,30.5272903,0.05765659,0.1334902,29.06528101,24.22975408,0.03988572,-1.71624954
0.001,100,3,0.2981,40.94642476,30.45226914,0.05754392,0.14791046,29.06991822,24.40573687,0.04016099,-1.71711634
0.001,100,4,0.345,40.85076237,30.39649167,0.0574301,0.15188725,28.9000263,24.15236519,0.03977407,-1.68545012
0.001,100,5,0.3661,40.80059169,30.38529538,0.0573486,0.15396919,28.8658009,24.15560107,0.03978043,-1.6790933
0.001,100,6,0.5211,40.75750358,30.37472097,0.05726232,0.15575517,28.86185424,24.15309362,0.03977668,-1.67836075
0.001,100,7,0.8038,40.70614155,30.35722026,0.05719604,0.15788164,28.85865429,24.15011658,0.03977216,-1.67776688
0.001,100,8,0.8824,40.6735044,30.34490153,0.05715505,0.15923148,28.84937264,24.13745933,0.03975282,-1.67604468
0.001,100,9,0.8001,40.65204977,30.33700963,0.0571323,0.16011823,28.84529707,24.12967721,0.03974087,-1.67528865
0.001,200,1,0.3527,40.25202519,28.18978087,0.05389138,0.17656612,26.34149569,20.52018222,0.03424341,-1.23100979
0.001,200,2,0.4093,38.561859,27.9175656,0.05348456,0.24426561,27.2839569,22.18904093,0.03679714,-1.39351043
0.001,200,3,0.4668,37.9127586,27.79080243,0.05329338,0.26949359,27.15902667,22.32376215,0.03701452,-1.37164137
0.001,200,4,0.5162,37.7289755,27.70074226,0.05309956,0.27655872,26.93049429,21.97412826,0.03648062,-1.33189646
0.001,200,5,0.6115,37.62975258,27.67830969,0.05293859,0.28035886,26.88832954,21.99513081,0.03651487,-1.32460013
0.001,200,6,0.7304,37.54320953,27.65735878,0.05277597,0.28366519,26.8799216,21.98873983,0.03650525,-1.32314656
0.001,200,7,0.9221,37.43627388,27.62359891,0.05264706,0.28774011,26.87541473,21.98362394,0.03649739,-1.3223676
0.001,200,8,1.1628,37.37012554,27.60123693,0.05257162,0.29025495,26.86495474,21.96727427,0.03647231,-1.32056021
