feature,mean_abs_shap
manggarai_air_lag1,12.220628
manggarai_air_lag2,10.512085
manggarai_air_lag4,1.3364917
time_index,0.8332303
depok_air_lag7,0.785968
depok_air_lag6,0.7037461
depok_air_lag8,0.63314337
manggarai_air_lag3,0.3992898
manggarai_cuaca_lag1_hujan,0.37189925
depok_air_lag9,0.32546243
manggarai_air_lag20,0.31243807
manggarai_air_lag5,0.3009258
dayofyear_sin,0.27272522
manggarai_air_lag15,0.22036019
manggarai_air_lag17,0.20552975
katulampa_air_lag4,0.20359212
manggarai_air_lag7,0.19453385
hour_sin,0.19029588
katulampa_air_lag3,0.1600234
depok_air_lag12,0.14715087
depok_air_lag3,0.13561063
manggarai_air_lag12,0.1297972
dayofyear_cos,0.12627654
depok_air_lag10,0.12525964
depok_cuaca_lag5_hujan,0.11261559
hour_cos,0.1008362
depok_air_lag19,0.08799326
depok_air_lag20,0.085758775
depok_air_lag13,0.07285513
manggarai_air_lag14,0.0706656
manggarai_air_lag9,0.06966557
depok_air_lag23,0.0599671
katulampa_air_lag5,0.05870285
manggarai_air_lag21,0.058370788
depok_air_lag14,0.056183722
manggarai_cuaca_lag12_hujan,0.04798341
depok_cuaca_lag6_hujan,0.04693171
manggarai_cuaca_lag4_hujan,0.0441677
depok_cuaca_lag7_hujan,0.043390192
manggarai_air_lag6,0.043145746
katulampa_air_lag14,0.034857165
katulampa_air_lag21,0.029594371
depok_air_lag16,0.028609255
depok_air_lag24,0.02279958
katulampa_cuaca_lag18_hujan,0.020144649
manggarai_cuaca_lag2_hujan,0.018518303
manggarai_cuaca_lag7_hujan,0.015049604
katulampa_air_lag19,0.013578409
depok_cuaca_lag2_hujan,0.012007344
depok_cuaca_lag22_hujan,0.011051098
depok_cuaca_lag1_hujan,0.01060234
manggarai_cuaca_lag19_hujan,0.008854886
depok_cuaca_lag4_hujan,0.008239291
manggarai_cuaca_lag5_hujan,0.0077150515
katulampa_cuaca_lag14_hujan,0.0038179525
depok_cuaca_lag9_hujan,0.0035426808
manggarai_cuaca_lag9_hujan,0.0
