Tree,Node,ID,Feature,Split,Yes,No,Missing,Gain,Cover,Category
0,0,0-0,manggarai_air_lag1,635.0,0-1,0-2,0-2,28663008.0,27231.0,
0,1,0-1,manggarai_air_lag1,595.0,0-3,0-4,0-4,3658178.0,14432.0,
0,2,0-2,manggarai_air_lag1,694.0,0-5,0-6,0-6,7356939.0,12799.0,
0,3,0-3,manggarai_air_lag4,575.0,0-7,0-8,0-8,668690.0,5187.0,
0,4,0-4,manggarai_air_lag1,615.0,0-9,0-10,0-10,884815.5,9245.0,
0,5,0-5,manggarai_air_lag1,665.0,0-11,0-12,0-12,1621591.5,10999.0,
0,6,0-6,manggarai_air_lag1,745.0,0-13,0-14,0-14,1234806.0,1800.0,
0,7,0-7,manggarai_air_lag3,592.5,0-15,0-16,0-16,37159.0,1745.0,
0,8,0-8,manggarai_air_lag2,625.0,0-17,0-18,0-18,144155.0,3442.0,
0,9,0-9,manggarai_air_lag1,605.0,0-19,0-20,0-20,109512.0,5237.0,
0,10,0-10,manggarai_air_lag1,625.0,0-21,0-22,0-22,95863.2188,4008.0,
0,11,0-11,manggarai_air_lag1,650.0,0-23,0-24,0-24,275878.0,8378.0,
0,12,0-12,manggarai_air_lag1,680.0,0-25,0-26,0-26,98950.5,2621.0,
0,13,0-13,manggarai_air_lag1,725.0,0-27,0-28,0-28,185278.5,1338.0,
0,14,0-14,manggarai_air_lag1,790.0,0-29,0-30,0-30,173339.0,462.0,
0,15,0-15,manggarai_air_lag1,565.0,0-31,0-32,0-32,35639.0,1742.0,
0,16,0-16,time_index,157.0,0-33,0-34,0-34,77885.0547,3.0,
0,17,0-17,manggarai_air_lag20,20.0,0-35,0-36,0-36,87121.0,3418.0,
0,18,0-18,depok_air_lag8,106.0,0-37,0-38,0-38,9188.13086,24.0,
0,19,0-19,depok_air_lag7,150.0,0-39,0-40,0-40,14335.0,3395.0,
0,20,0-20,depok_air_lag8,155.0,0-41,0-42,0-42,21656.8125,1842.0,
0,21,0-21,manggarai_air_lag4,570.0,0-43,0-44,0-44,81829.125,2249.0,
0,22,0-22,depok_air_lag3,80.0,0-45,0-46,0-46,22716.9824,1759.0,
0,23,0-23,manggarai_air_lag1,645.0,0-47,0-48,0-48,21577.875,3203.0,
0,24,0-24,manggarai_air_lag1,651.0,0-49,0-50,0-50,76550.5,5175.0,
0,25,0-25,depok_air_lag7,160.0,0-51,0-52,0-52,28278.625,1185.0,
0,26,0-26,depok_air_lag7,137.5,0-53,0-54,0-54,34691.25,1436.0,
0,27,0-27,depok_air_lag7,145.0,0-55,0-56,0-56,47817.5,1030.0,
0,28,0-28,depok_air_lag7,155.0,0-57,0-58,0-58,9770.5,308.0,
0,29,0-29,depok_air_lag7,155.0,0-59,0-60,0-60,26459.0,342.0,
0,30,0-30,manggarai_air_lag2,715.0,0-61,0-62,0-62,8250.0,120.0,
0,31,0-31,manggarai_air_lag1,20.0,0-63,0-64,0-64,4888.5,1451.0,
0,32,0-32,depok_air_lag9,125.0,0-65,0-66,0-66,14370.1875,291.0,
0,33,0-33,Leaf,,,,,-30.9867039,1.0,
0,34,0-34,time_index,2013.0,0-67,0-68,0-68,105.295166,2.0,
0,35,0-35,time_index,289.0,0-69,0-70,0-70,46074.25,2.0,
0,36,0-36,manggarai_air_lag1,585.0,0-71,0-72,0-72,73562.0,3416.0,
0,37,0-37,depok_air_lag14,74.0,0-73,0-74,0-74,992.479614,12.0,
0,38,0-38,dayofyear_cos,0.652345598,0-75,0-76,0-76,8.375,12.0,
0,39,0-39,manggarai_air_lag1,598.0,0-77,0-78,0-78,11690.75,3382.0,
0,40,0-40,hour_sin,0.965925813,0-79,0-80,0-80,4321.0542,13.0,
