Model,Semua Variabel Signifikan,P-value Ljung Box,White Noise?,P-value Lillie Test,Distribusi Normal?,Training Time (s),RMSE Training,RMSE Testing,MAE Training,MAE Testing,MAPE Training,MAPE Testing,R² Training,R² Testing
"ARIMA(1, 0, 0)",Ya,0.0,Tidak,0.001,Tidak,3.62325478,21.15312819,30.32767111,5.60920671,25.51905072,0.01799416,4.18326733,0.77259372,-1.95732284
"ARIMA(2, 0, 0)",Ya,0.0,Tidak,0.001,Tidak,6.87261748,19.44228611,30.24958896,5.60874641,25.34738664,0.01787146,4.15688832,0.80789091,-1.94211449
"ARIMA(3, 0, 0)",Ya,0.0,Tidak,0.001,Tidak,5.1817944,19.34548307,30.22365299,5.66889503,25.29137395,0.01793999,4.14827718,0.80979917,-1.93707152
"ARIMA(4, 0, 0)",Tidak,0.0,Tidak,0.001,Tidak,6.49590898,19.34507039,30.22316726,5.66925643,25.29033974,0.01794008,4.14811826,0.80980728,-1.93697712
"ARIMA(5, 0, 0)",Tidak,0.0,Tidak,0.001,Tidak,5.57843113,19.34497104,30.22781941,5.67462263,25.30039162,0.01795093,4.14966371,0.80980923,-1.93788135
"ARIMA(6, 0, 0)",Tidak,0.0,Tidak,0.001,Tidak,8.01220465,19.34484942,30.22589336,5.67218514,25.29623867,0.01794656,4.14902507,0.80981163,-1.93750697
"ARIMA(7, 0, 0)",Tidak,0.0,Tidak,0.001,Tidak,7.53594851,19.34255754,30.21758448,5.66243652,25.27851746,0.01793035,4.14629983,0.80985669,-1.93589219
"ARIMA(8, 0, 0)",Tidak,0.0,Tidak,0.001,Tidak,12.74777222,19.33559996,30.2030818,5.6472773,25.24758254,0.01790548,4.14154239,0.80999345,-1.93307475
"ARIMA(9, 0, 0)",Tidak,0.0,Tidak,0.001,Tidak,11.18948579,19.32415015,30.18378963,5.62902879,25.20649232,0.01787423,4.13522446,0.81021842,-1.92932896
"ARIMA(10, 0, 0)",Tidak,0.0,Tidak,0.001,Tidak,14.72276711,19.31495222,30.16522145,5.61403753,25.16695874,0.01784832,4.12914667,0.81039904,-1.92572599
"ARIMA(11, 0, 0)",Tidak,0.118328,Ya,0.001,Tidak,17.76618981,19.30598078,30.14535437,5.60043984,25.12491541,0.01782459,4.12268389,0.81057513,-1.92187344
