Seq,Unit,Dropout,LR,Batch Size,Epoch,training_time_sec,train_rmse,train_mae,train_mape,train_r2,test_rmse,test_mae,test_mape,test_r2
12,"[16, 8]",0.4,0.0001,32,34,259.69927788,18.71723663,8.29429483,0.0234976,0.83293859,15.67527821,5.49871709,0.01161654,0.21372125
12,"[16, 8]",0.4,0.0005,32,15,95.75540376,18.11691849,8.11609649,0.02356646,0.84348307,15.34135518,5.02738221,0.01093104,0.24686389
12,"[16, 8]",0.4,0.002,32,6,37.80934286,20.60455341,10.45138805,0.02638258,0.79754939,18.54716709,11.7345647,0.02106484,-0.10078168
12,"[16, 8]",0.2,0.0001,32,40,251.58510923,17.19024997,6.47883941,0.0207761,0.85908506,15.3458744,4.73450164,0.01047408,0.24642011
12,"[16, 8]",0.2,0.0005,32,17,112.76495624,16.98252919,5.99321023,0.01967104,0.86247001,15.22045726,4.65140812,0.0103523,0.25868733
12,"[16, 8]",0.2,0.002,32,13,86.92769122,16.72006306,5.54198238,0.01905099,0.86668823,14.9390077,3.12756774,0.00804298,0.28584986
12,[128],0.4,0.0001,32,25,125.37207103,16.42947307,5.11384914,0.01848506,0.87128181,15.15903496,3.86070554,0.00912761,0.2646584
12,[128],0.4,0.0005,32,11,58.80012465,16.70997655,6.13560646,0.02019692,0.86684903,15.140444,4.07689474,0.00946034,0.26646094
12,[128],0.4,0.002,32,10,53.26380634,16.3906444,5.01851684,0.01827731,0.8718895,14.99412625,3.38592522,0.00840644,0.28057032
12,[128],0.2,0.0001,32,21,97.48416233,16.51038966,5.63350274,0.01936108,0.87001079,15.35209981,4.89436766,0.0107156,0.24580857
12,[128],0.2,0.0005,32,17,81.63177371,16.16746115,4.84034893,0.01804439,0.87535458,15.22366559,4.06047137,0.00943877,0.25837477
12,[128],0.2,0.002,32,12,56.34851813,16.16324232,4.46709882,0.01740677,0.87541962,14.98329607,3.57180274,0.00867119,0.28160923
12,"[32, 16]",0.4,0.0001,32,37,237.42695642,19.27480924,9.9009874,0.02677566,0.82283707,15.63178481,5.50005481,0.01163731,0.21807849
12,"[32, 16]",0.4,0.0005,32,14,85.35568738,17.39912698,6.60578609,0.02086447,0.85563976,15.10637316,3.89357304,0.00917502,0.26975862
12,"[32, 16]",0.4,0.002,32,7,45.90069246,18.60217579,8.56269961,0.02359396,0.83498624,15.9873778,6.8258147,0.01361706,0.18209945
12,"[32, 16]",0.2,0.0001,32,31,199.18937826,16.6140918,5.27038336,0.01863386,0.86837273,15.3736976,4.88871442,0.01070626,0.24368504
12,"[32, 16]",0.2,0.0005,32,15,97.6103003,16.60603288,5.5583366,0.01907698,0.86850039,15.01951796,3.76758019,0.00900326,0.27813163
12,"[32, 16]",0.2,0.002,32,13,82.42634606,16.29890992,4.84133932,0.01796413,0.87331949,15.12886916,4.53517343,0.01016849,0.26758209
12,[64],0.4,0.0001,32,39,191.12069798,16.38759269,4.68368726,0.01780871,0.8719372,15.31309845,4.37880277,0.00992528,0.24963568
12,[64],0.4,0.0005,32,11,51.48336291,16.46815658,5.04138555,0.01837356,0.87067495,15.12908543,3.79286668,0.00904495,0.26756115
12,[64],0.4,0.002,32,18,83.47557878,16.14625808,4.95215374,0.01814864,0.8756813,15.03483576,3.36897054,0.00839645,0.27665847
12,[64],0.2,0.0001,32,23,110.96418595,16.4828024,4.94268622,0.01819429,0.87044482,15.32054351,4.52571666,0.01015027,0.24890587
12,[64],0.2,0.0005,32,18,82.99946117,16.2159971,4.63420738,0.01767573,0.87460507,15.14076504,4.01647148,0.00936584,0.26642983
12,[64],0.2,0.002,32,15,80.51243186,16.19342866,5.3972649,0.01891309,0.87495386,15.04012145,3.57081473,0.00869409,0.27614978
12,"[64, 32]",0.4,0.0001,32,36,237.92207384,16.62779802,5.13564931,0.01838959,0.86815546,15.18525085,3.9690539,0.00930038,0.26211282
12,"[64, 32]",0.4,0.0005,32,15,96.33040571,16.81216134,6.34341033,0.02039092,0.86521556,15.05651904,3.77532433,0.00900033,0.27457056
12,"[64, 32]",0.4,0.002,32,8,54.1688447,16.80184483,5.60698322,0.01933422,0.86538092,15.05625926,3.79332238,0.00903781,0.27459559
12,"[64, 32]",0.2,0.0001,32,31,212.24425316,16.48691469,5.34368103,0.01879911,0.87038017,15.29093625,4.56930336,0.01020068,0.25180607
12,"[64, 32]",0.2,0.0005,32,27,167.32054687,16.05041389,4.48187272,0.01725452,0.87715283,15.06785101,3.86077468,0.0091257,0.27347819
12,"[64, 32]",0.2,0.002,32,7,48.98795509,16.89286956,5.81695423,0.01979302,0.86391836,15.06902122,3.80844023,0.00905335,0.27336533
24,"[16, 8]",0.4,0.0001,32,40,297.15736461,19.94751751,10.76138174,0.02804408,0.81022714,15.54530682,5.16000065,0.01114123,0.23145179
24,"[16, 8]",0.4,0.0005,32,10,75.28282857,19.25323292,8.27898368,0.02304323,0.82320754,16.44041761,6.8590828,0.01365812,0.14039644
24,"[16, 8]",0.4,0.002,32,16,120.85021234,20.15666023,10.30839163,0.02671904,0.80622687,16.11182718,7.0329857,0.01394441,0.17441441
24,"[16, 8]",0.2,0.0001,32,40,303.76353192,17.02189231,6.33166605,0.02054103,0.86181144,15.45482454,4.70835776,0.01046663,0.24037251
24,"[16, 8]",0.2,0.0005,32,17,135.98927999,17.06021088,6.09241357,0.01996085,0.86118858,15.75138931,6.2457948,0.0127818,0.2109396
24,"[16, 8]",0.2,0.002,32,12,93.08068657,16.73133055,5.52400889,0.01893069,0.8664889,15.54401943,5.72459536,0.01200304,0.23157908
24,[128],0.4,0.0001,32,28,166.05754709,16.36347951,4.7821488,0.01789601,0.87229505,15.79278701,5.30793897,0.0114055,0.20678654
24,[128],0.4,0.0005,32,13,75.29640818,16.46456538,5.06304203,0.01842179,0.87071238,15.36773646,4.38268309,0.00995941,0.2489094
24,[128],0.4,0.002,32,13,79.87884116,16.24327057,4.82404886,0.01795257,0.87416445,15.28203776,4.28444493,0.00981641,0.25726301
24,[128],0.2,0.0001,32,20,113.38073897,16.30399208,4.5673439,0.01755981,0.87322188,15.70371139,4.99641989,0.01092661,0.21570919
24,[128],0.2,0.0005,32,22,119.83498263,16.00520737,4.69792129,0.01752862,0.87782594,15.19707007,3.82684779,0.00911086,0.26549924
24,[128],0.2,0.002,32,16,97.62382126,15.81929674,4.71249469,0.01724673,0.88064771,15.20590862,3.90267657,0.00923125,0.26464463
24,"[32, 16]",0.4,0.0001,32,26,199.06679726,17.28842459,6.28533349,0.02027677,0.85744999,16.10701106,5.64012084,0.01190694,0.1749079
24,"[32, 16]",0.4,0.0005,32,22,169.72151303,17.87437915,7.71573677,0.02276175,0.84762338,15.67244271,5.3338249,0.01141189,0.21882938
24,"[32, 16]",0.4,0.002,32,8,61.27477288,18.38492707,8.33554652,0.02356302,0.83879436,15.99155813,6.91724359,0.01378335,0.18669381
24,"[32, 16]",0.2,0.0001,32,33,243.34251976,16.88015528,5.65155023,0.01912326,0.86410318,15.93832374,5.9287209,0.01230414,0.19209963
24,"[32, 16]",0.2,0.0005,32,18,137.15735865,16.71569509,5.79674862,0.01965211,0.86673832,15.3423433,4.3268452,0.0098791,0.25138951
24,"[32, 16]",0.2,0.002,32,15,111.81213522,16.89381138,6.50338586,0.02088716,0.86388321,15.12310787,3.86085438,0.00916334,0.27263129
24,[64],0.4,0.0001,32,29,176.77987337,16.58423258,5.1932122,0.01850767,0.86882618,15.54740371,4.53398371,0.01020621,0.23124444
24,[64],0.4,0.0005,32,14,87.08817554,16.52768398,5.16444427,0.0185812,0.8697192,15.43356632,4.32255907,0.00987595,0.24246082
24,[64],0.4,0.002,32,15,82.3271277,16.16072611,4.58024282,0.01755466,0.87544013,15.23707402,3.76871641,0.00903354,0.26162723
24,[64],0.2,0.0001,32,37,214.28398943,16.33270144,4.52075497,0.01751514,0.872775,15.74467728,5.00934374,0.01095375,0.21161193
24,[64],0.2,0.0005,32,16,90.97240281,16.27261125,4.63371851,0.01764942,0.87370944,15.38714781,4.13096276,0.00957933,0.24701076
24,[64],0.2,0.002,32,16,92.68698192,16.02561664,4.52445562,0.01738595,0.87751415,15.18540411,4.10623543,0.00954718,0.26662648
24,"[64, 32]",0.4,0.0001,32,40,297.60140705,16.57071399,5.31977062,0.01869981,0.86903995,15.57531748,4.64094409,0.01037118,0.22848152
24,"[64, 32]",0.4,0.0005,32,22,158.04735136,16.3296738,5.06327918,0.01827168,0.87282217,15.30702598,4.07514597,0.00950451,0.25483207
24,"[64, 32]",0.4,0.002,32,15,111.5921042,18.916121,9.62154945,0.02640488,0.82934439,15.12023758,3.34343341,0.00838832,0.27290736
24,"[64, 32]",0.2,0.0001,32,35,258.96968508,16.31197061,4.76725255,0.01784451,0.87309777,15.6614602,5.01984511,0.01094634,0.21992382
24,"[64, 32]",0.2,0.0005,32,18,134.24551678,16.16392241,4.63058947,0.01754398,0.87539085,15.47941708,4.78186246,0.0105789,0.23795306
24,"[64, 32]",0.2,0.002,32,9,64.44328976,17.05432439,6.86602698,0.02120755,0.86128436,15.18877614,4.01079834,0.00939184,0.26630074
36,"[16, 8]",0.4,0.0001,32,26,199.14212179,18.78272684,8.93570245,0.02251487,0.83061462,16.32088066,6.3996906,0.01304058,0.15808165
