Seq,Unit,Dropout,LR,Batch Size,Epoch,training_time_sec,train_rmse,train_mae,train_mape,train_r2,test_rmse,test_mae,test_mape,test_r2
6,"[16, 8]",0.4,0.0001,32,40,273.29783964,18.86598377,9.20861776,0.02549233,0.83030113,15.84499622,6.82500529,0.01364612,0.19413734
6,"[16, 8]",0.4,0.0005,32,9,61.17621779,18.29397334,7.49584663,0.02207847,0.84043556,16.08133219,7.09662204,0.01403223,0.16991837
6,"[16, 8]",0.4,0.002,32,6,41.24751878,18.69409022,7.87949984,0.02274498,0.8333794,15.58437388,5.47934412,0.01156847,0.22042936
6,"[16, 8]",0.2,0.0001,32,30,198.04427552,17.2387104,6.0434852,0.01982154,0.85831314,15.62816336,6.07134674,0.01248204,0.21604228
6,"[16, 8]",0.2,0.0005,32,17,117.65668678,16.82129014,5.22775865,0.01852733,0.86509171,15.41025898,5.39619526,0.01145599,0.23775141
6,"[16, 8]",0.2,0.002,32,7,48.43302298,16.88505259,5.46329375,0.01897746,0.86406701,15.13573199,4.27380063,0.00975183,0.26466775
6,[128],0.4,0.0001,32,37,204.10857844,16.3885337,4.51463378,0.01749059,0.87194391,15.37622405,5.12985161,0.01107059,0.24111468
6,[128],0.4,0.0005,32,13,67.773633,16.46784174,4.60817277,0.01767833,0.87070153,15.31349926,4.63144664,0.01031044,0.24729355
6,[128],0.4,0.002,32,15,76.3451829,16.22758929,4.55038595,0.0174666,0.87444673,14.98992939,2.93532811,0.00772884,0.27876643
6,[128],0.2,0.0001,32,24,123.32713604,16.43961653,4.52294861,0.0175424,0.87114437,15.52070619,5.54943481,0.01170883,0.226786
6,[128],0.2,0.0005,32,11,57.59480691,16.40682395,4.39277408,0.01733751,0.87165792,15.18772143,4.30859039,0.00982286,0.25960752
6,[128],0.2,0.002,32,15,75.84320354,16.0557356,4.40189133,0.0171297,0.87709192,15.04986263,3.41019245,0.00845777,0.27298758
6,"[32, 16]",0.4,0.0001,32,37,247.50141382,17.52581336,7.03793861,0.02177524,0.85355438,15.4011673,5.30004122,0.01132045,0.23865056
6,"[32, 16]",0.4,0.0005,32,20,134.61682272,18.13757112,8.12468654,0.02375225,0.84315225,15.1945994,4.45556593,0.0100316,0.25893677
6,"[32, 16]",0.4,0.002,32,8,54.02000856,17.92111056,7.69613789,0.02289075,0.84687367,15.40547219,5.42392173,0.0115031,0.23822488
6,"[32, 16]",0.2,0.0001,32,40,261.68980789,16.54477714,4.9922392,0.01830433,0.86949058,15.28114758,4.92152287,0.01075261,0.25047056
6,"[32, 16]",0.2,0.0005,32,15,98.31146789,16.6444768,5.08616258,0.01841119,0.86791292,15.25092185,4.68374891,0.01037124,0.25343273
6,"[32, 16]",0.2,0.002,32,11,75.28861785,16.79447213,5.90997092,0.01998256,0.86552154,15.01054289,3.47203703,0.00854194,0.27678145
6,[64],0.4,0.0001,32,40,211.20039344,16.48112351,4.67378598,0.01773646,0.87049288,15.51113625,5.53094448,0.01167553,0.22773922
6,[64],0.4,0.0005,32,26,126.98660016,16.36953881,4.39349487,0.01734541,0.87224058,15.22207973,4.42834384,0.0100054,0.25625383
6,[64],0.4,0.002,32,13,66.35520673,16.37714332,4.5825202,0.01763705,0.87212186,15.13789499,4.13681537,0.00955656,0.26445757
6,[64],0.2,0.0001,32,32,172.78463125,16.49746587,4.56062016,0.01756251,0.87023592,15.54759599,5.64157882,0.01184987,0.22410447
6,[64],0.2,0.0005,32,17,86.01679158,16.39656196,4.61149765,0.01775344,0.87181842,15.1632581,4.10069801,0.00950191,0.26199074
6,[64],0.2,0.002,32,14,72.96683049,16.25174222,4.37923941,0.01723562,0.8740727,15.03568803,3.15426954,0.00806484,0.2743564
