Seq,Unit,Dropout,LR,Batch Size,Epoch,training_time_sec,train_rmse,train_mae,train_mape,train_r2,test_rmse,test_mae,test_mape,test_r2
12,"[16, 8]",0.4,0.0001,32,24,160.40036559,18.14793978,7.20758062,0.02164584,0.84294661,15.27761423,4.39465181,0.00992196,0.25310921
12,"[16, 8]",0.4,0.0005,32,13,80.9499023,17.728249,6.99214466,0.02153134,0.85012667,15.01818578,3.87373514,0.00913983,0.27825968
12,"[16, 8]",0.4,0.002,32,8,48.20223927,17.80967716,7.26754364,0.02227445,0.84874673,14.9577507,3.21130131,0.0081738,0.28405674
12,"[16, 8]",0.2,0.0001,32,40,249.44487095,17.29323942,6.78978516,0.02141544,0.85739151,15.19010294,4.69311372,0.01041259,0.2616412
12,"[16, 8]",0.2,0.0005,32,22,142.24226427,16.65982928,5.29929732,0.01890605,0.86764701,14.95611439,3.83941458,0.00911176,0.28421337
12,"[16, 8]",0.2,0.002,32,9,55.23186874,16.78401188,5.64953204,0.01926658,0.86566653,15.05070865,4.23612715,0.00972856,0.27513034
12,[128],0.4,0.0001,32,32,143.51778603,16.44175664,5.00074854,0.01836105,0.87108926,15.14004948,3.87765853,0.00915784,0.26649916
12,[128],0.4,0.0005,32,15,68.58160949,16.51748177,5.30250638,0.01887298,0.86989909,15.10484891,3.58907253,0.00873433,0.26990597
12,[128],0.4,0.002,32,11,50.83002281,16.39665736,4.66612605,0.01778523,0.87179549,15.02753312,3.38533096,0.00842557,0.27736097
12,[128],0.2,0.0001,32,39,181.76809812,16.31096938,4.28744773,0.01719035,0.87313196,15.29886522,4.68084844,0.0103948,0.25102993
12,[128],0.2,0.0005,32,14,70.2007947,16.60708512,5.70234972,0.01958163,0.86848373,15.13534692,3.72473076,0.00893096,0.26695475
12,[128],0.2,0.002,32,11,51.00261068,16.35554434,4.45463344,0.01744658,0.8724376,15.00463866,2.98295944,0.00780286,0.27956118
12,"[32, 16]",0.4,0.0001,32,36,224.26046681,17.09135564,5.95226193,0.01985111,0.86070174,15.19356572,4.08697936,0.00946969,0.26130452
12,"[32, 16]",0.4,0.0005,32,13,79.37184572,16.87907843,5.70370089,0.01933494,0.86414046,15.12355758,3.94947152,0.00927681,0.26809628
