Seq,Unit,Dropout,LR,Batch Size,Epoch,training_time_sec,train_rmse,train_mae,train_mape,train_r2,test_rmse,test_mae,test_mape,test_r2
6,"[16, 8]",0.6,0.002,32,6,52.48512411,24.68830908,12.18812062,0.02881574,0.70939524,20.73094364,14.26752538,0.02483328,-0.37947838
6,"[16, 8]",0.6,0.004,32,6,45.87263799,21.7309854,9.33915175,0.02452552,0.77484641,17.03521487,7.99613437,0.01532893,0.06852332
6,"[16, 8]",0.0,0.002,32,20,125.7243557,16.25914437,4.19620562,0.01697058,0.87395797,14.96060029,2.8517403,0.00760568,0.28158599
6,"[16, 8]",0.0,0.004,32,17,104.42385197,16.23925582,4.07756745,0.01685992,0.87426613,14.92428909,3.37376878,0.00840261,0.28506911
6,[128],0.6,0.002,32,16,81.42182469,16.5146229,4.61680656,0.01773811,0.86996587,15.15972247,4.16103129,0.00959985,0.26233487
6,[128],0.6,0.004,32,15,79.98213243,16.39803148,4.42263201,0.01738449,0.87179544,15.04314759,3.23565814,0.00819604,0.27363621
6,[128],0.0,0.002,32,19,90.58717346,15.82390261,3.84075924,0.01610158,0.8806157,15.03042034,3.20944241,0.00815082,0.27486477
6,[128],0.0,0.004,32,15,75.17668986,16.0982436,4.12788567,0.01690816,0.87644025,14.97531318,3.48205025,0.00856443,0.28017225
6,"[32, 16]",0.6,0.002,32,12,79.86120343,20.57181379,10.14613407,0.02730328,0.798226,15.1212564,4.15726352,0.00959177,0.2660736
6,"[32, 16]",0.6,0.004,32,6,40.87024832,20.99276271,9.15397584,0.02423149,0.78988395,17.42444964,9.13833906,0.0170768,0.02547071
6,"[32, 16]",0.0,0.002,32,20,120.31645298,16.12442164,4.00982595,0.01673769,0.87603807,15.03731912,3.5262657,0.00863536,0.27419896
6,"[32, 16]",0.0,0.004,32,16,92.78083134,16.16260836,3.89650049,0.01655042,0.87545023,14.96376189,3.49076766,0.0085809,0.28128231
6,[64],0.6,0.002,32,15,79.50193501,17.32756623,6.3939628,0.02088954,0.85684874,15.02948161,3.09321654,0.007972,0.27495534
6,[64],0.6,0.004,32,16,89.95327401,16.50896067,4.62300194,0.01770678,0.87005502,15.05664171,3.74500567,0.00896463,0.27233248
6,[64],0.0,0.002,32,17,80.34949398,16.17789667,4.18165797,0.01694735,0.87521449,14.9618471,3.29115523,0.00827553,0.28146624
6,[64],0.0,0.004,32,19,96.68394566,15.96329264,4.27045357,0.01696729,0.87850316,14.99929075,3.50479993,0.00859781,0.27786532
6,"[64, 32]",0.6,0.002,32,7,49.89518309,17.21502033,6.14475695,0.02024137,0.8587023,15.29069094,4.6458881,0.01033497,0.24953408
6,"[64, 32]",0.6,0.004,32,7,49.20507216,19.599745,9.77967282,0.02674102,0.81684412,15.06468688,3.37869609,0.0084139,0.27155465
