Seq,Unit,Dropout,LR,Batch Size,Epoch,training_time_sec,train_rmse,train_mae,train_mape,train_r2,test_rmse,test_mae,test_mape,test_r2
1,"[16, 8]",0.4,0.0001,32,40,248.26515079,17.32298192,6.44058481,0.02071584,0.85693303,15.77852605,5.42822986,0.01151099,0.19965357
1,"[16, 8]",0.4,0.0005,32,19,115.80672383,20.35436802,10.91354264,0.02867839,0.80248079,15.44369999,4.11784328,0.00950172,0.23326046
1,"[16, 8]",0.4,0.002,32,7,51.29860735,18.03094587,6.91460052,0.02124275,0.84500021,15.79679879,5.08268757,0.01099133,0.19779878
1,"[16, 8]",0.2,0.0001,32,40,245.09372997,16.69684029,5.45392349,0.01908755,0.86708847,15.58687525,4.73492264,0.01045768,0.218978
1,"[16, 8]",0.2,0.0005,32,16,103.36807919,17.01155561,6.10807158,0.02033643,0.8620308,15.66825672,5.05256831,0.01095163,0.21080104
1,"[16, 8]",0.2,0.002,32,14,91.33289957,16.98064772,5.90053196,0.01973012,0.86253169,15.64460682,5.91549947,0.01224236,0.2131817
1,[128],0.4,0.0001,32,33,162.87191892,16.14146705,4.32219152,0.01712821,0.87578327,15.39356231,4.48703128,0.01009354,0.23823079
1,[128],0.4,0.0005,32,27,126.36437726,15.96800519,4.21287867,0.0168046,0.87843868,15.32209623,4.24176435,0.00970694,0.24528754
1,[128],0.4,0.002,32,32,146.84952569,15.47354758,4.00607999,0.01614723,0.88585054,15.23604505,4.16369421,0.00960679,0.25374089
1,[128],0.2,0.0001,32,27,128.02675247,16.13353498,4.28981371,0.01706257,0.87590532,15.46714837,4.44369573,0.01002455,0.23093039
1,[128],0.2,0.0005,32,22,104.56612206,15.9336772,4.14083437,0.01675761,0.87896078,15.3043214,4.45998949,0.01004993,0.24703758
1,[128],0.2,0.002,32,36,174.10626149,15.05621654,3.97192682,0.01565251,0.89192486,15.19214525,3.80069863,0.00904088,0.25803511
1,"[32, 16]",0.4,0.0001,32,40,241.43160605,16.70385565,5.29376371,0.01874206,0.86697675,15.60858422,4.48153415,0.01008073,0.21680091
1,"[32, 16]",0.4,0.0005,32,16,101.27634764,16.91986323,5.84334962,0.0198735,0.8635141,15.5737036,5.36321461,0.0114151,0.22029745
1,"[32, 16]",0.4,0.002,32,18,104.09422398,18.58424407,8.79403021,0.0250347,0.8353416,15.75084128,5.95105985,0.01231512,0.20245966
1,"[32, 16]",0.2,0.0001,32,40,254.64223075,16.34137951,4.69089111,0.01780028,0.87268736,15.44896577,4.33343082,0.00985701,0.23273751
1,"[32, 16]",0.2,0.0005,32,25,162.68329549,16.20203693,4.65800538,0.01770013,0.87484929,15.34229148,4.31470539,0.00982092,0.24329674
1,"[32, 16]",0.2,0.002,32,31,180.09396982,16.64673512,6.36513438,0.02064916,0.86788497,15.32495938,4.28587351,0.00978009,0.24500546
1,[64],0.4,0.0001,32,40,182.96248126,16.34028739,4.72506947,0.01783803,0.87270438,15.43475196,4.16126147,0.00960423,0.23414869
1,[64],0.4,0.0005,32,32,147.58249593,16.47925526,5.91138054,0.01967727,0.87052997,15.40343725,4.69328891,0.01040415,0.23725313
1,[64],0.4,0.002,32,27,123.61807871,15.74532502,4.93257884,0.01742837,0.88180548,15.12853126,3.58317517,0.00870283,0.26423575
1,[64],0.2,0.0001,32,39,184.42738509,16.08873425,4.32071083,0.01707894,0.87659356,15.33894331,4.05436928,0.00942175,0.24362697
1,[64],0.2,0.0005,32,22,104.21589589,15.90186032,4.30569348,0.0169041,0.87944369,15.43861128,4.45100103,0.01003268,0.23376566
1,[64],0.2,0.002,32,38,177.38324594,14.8134165,4.45696007,0.01557176,0.89538245,15.17113611,3.97631703,0.00930611,0.26008581
1,"[64, 32]",0.4,0.0001,32,38,232.70790219,16.46045213,4.8816171,0.01810791,0.87082526,15.63173642,4.17343268,0.00963088,0.21447575
1,"[64, 32]",0.4,0.0005,32,25,154.69609618,16.25089376,4.56845153,0.01753773,0.87409337,15.37493134,4.11312868,0.0095193,0.24007363
1,"[64, 32]",0.4,0.002,32,27,168.29964638,17.04952646,6.907942,0.02156375,0.8614142,15.32529449,4.23585436,0.00971324,0.24497244
1,"[64, 32]",0.2,0.0001,32,39,229.13251424,16.21120563,4.45099207,0.01734258,0.8747076,15.46397138,4.04951454,0.00942699,0.23124629
1,"[64, 32]",0.2,0.0005,32,19,114.68634629,16.12723391,4.49496299,0.01737734,0.87600224,15.35214188,4.39346988,0.00993952,0.24232475
1,"[64, 32]",0.2,0.002,32,21,126.00629115,15.72132802,5.06361918,0.01774573,0.88216548,15.50379209,5.0048603,0.01089696,0.22728202
12,"[16, 8]",0.4,0.0001,32,40,255.76542759,18.725917,8.89243458,0.02502432,0.8327836,16.40175603,6.21299366,0.01274931,0.13915152
12,"[16, 8]",0.4,0.0005,32,15,92.35561752,17.96242918,7.07064446,0.02141144,0.84614103,15.83295395,5.80730242,0.01211709,0.19782353
12,"[16, 8]",0.4,0.002,32,8,48.1589756,19.19523091,8.76979253,0.02430661,0.82429693,15.87881317,5.58017057,0.01176562,0.19316988
12,"[16, 8]",0.2,0.0001,32,40,244.96094155,16.94797183,5.74116628,0.0194651,0.86302915,16.49633176,6.58847768,0.01331396,0.12919525
12,"[16, 8]",0.2,0.0005,32,20,118.50163317,16.82902391,5.73033461,0.01926462,0.86494504,15.42670054,4.64005568,0.01032749,0.23846105
12,"[16, 8]",0.2,0.002,32,26,155.73332334,17.2516029,7.34116144,0.02226011,0.85807739,15.180607,3.91841046,0.00923059,0.26256406
12,[128],0.4,0.0001,32,29,127.16705298,16.33696244,5.40520749,0.01885172,0.87272729,15.66165739,5.28186912,0.01131913,0.21508711
12,[128],0.4,0.0005,32,20,89.10271978,15.81506597,4.69002228,0.01723914,0.88072905,15.73599543,5.52520147,0.01171162,0.20761825
12,[128],0.4,0.002,32,10,46.22135878,16.39375754,5.26468627,0.01853271,0.87184083,15.34144231,4.50015671,0.01011522,0.24685533
12,[128],0.2,0.0001,32,26,114.59729004,16.10671449,5.14797897,0.01828242,0.87628949,15.47931534,4.61715386,0.01031399,0.23325753
12,[128],0.2,0.0005,32,37,166.43448091,15.08695456,4.00318165,0.01560429,0.8914585,15.31499389,4.04955144,0.00944025,0.24944991
12,[128],0.2,0.002,32,9,42.21471858,16.31478948,5.1551771,0.01835193,0.87307253,15.53836515,5.06849993,0.01100315,0.2273965
12,"[32, 16]",0.4,0.0001,32,40,234.92247963,17.65012726,7.00780057,0.0215747,0.85144463,16.41509565,6.47703174,0.01315571,0.13775068
12,"[32, 16]",0.4,0.0005,32,21,129.9168992,17.21661273,6.61745284,0.02087788,0.85865251,15.28514553,4.14431959,0.00958523,0.25237265
12,"[32, 16]",0.4,0.002,32,11,64.6167531,17.74696777,7.13732425,0.02170917,0.84981001,15.61652704,5.03618605,0.01094882,0.21960417
12,"[32, 16]",0.2,0.0001,32,40,257.73061919,16.60781922,5.57149635,0.01925687,0.8684721,15.83151432,5.09904707,0.01106735,0.1979694
12,"[32, 16]",0.2,0.0005,32,21,123.71395707,16.27403083,4.97228485,0.01818245,0.87370594,15.28743108,4.63306434,0.01032694,0.25214905
12,"[32, 16]",0.2,0.002,32,15,99.70544863,16.07501387,4.78297289,0.01769729,0.87677598,15.29567884,4.93430528,0.01079708,0.25134189
12,[64],0.4,0.0001,32,37,163.15301037,16.37235812,4.92114585,0.0179534,0.87217519,15.6674663,5.19983673,0.01119102,0.21450475
12,[64],0.4,0.0005,32,21,92.69709492,16.08620386,4.45317888,0.01724173,0.87660436,15.53983323,4.92739445,0.01077557,0.2272505
12,[64],0.4,0.002,32,25,112.97452259,15.11788045,4.68590055,0.01586942,0.89101305,15.36482639,4.68550986,0.01042729,0.24455763
12,[64],0.2,0.0001,32,40,175.75382853,16.06038447,4.5001712,0.01730854,0.87700016,15.71895648,5.23780651,0.01125897,0.2093333
12,[64],0.2,0.0005,32,19,85.41763997,15.95368435,5.31054689,0.01833895,0.87862908,15.40312171,4.93561025,0.01078344,0.24078721
12,[64],0.2,0.002,32,11,49.79330468,16.17974173,5.03038263,0.01810071,0.87516515,15.59352433,5.2077358,0.01123281,0.22190148
12,"[64, 32]",0.4,0.0001,32,32,190.5745101,16.96887882,5.81614966,0.01939383,0.86269101,16.2110639,6.32778089,0.01291895,0.15905216
12,"[64, 32]",0.4,0.0005,32,21,135.26390839,16.4348987,5.47625609,0.01875061,0.87119678,15.29850505,4.55942659,0.01020673,0.2510652
12,"[64, 32]",0.4,0.002,32,12,70.4994669,16.65438435,5.66484039,0.01922862,0.86773351,15.33097842,5.04601219,0.01093725,0.24788237
12,"[64, 32]",0.2,0.0001,32,29,178.52009463,16.42608857,5.16917293,0.01841524,0.87133483,15.74127735,5.2974959,0.01137358,0.20708622
12,"[64, 32]",0.2,0.0005,32,18,106.27580571,16.32107683,5.80429888,0.01939338,0.87297468,15.28804181,3.94110173,0.00929756,0.2520893
12,"[64, 32]",0.2,0.002,32,19,121.02662468,15.1024077,4.26040631,0.01564446,0.89123603,15.02616091,4.08733653,0.00946448,0.27749294
24,"[16, 8]",0.4,0.0001,32,40,279.04732203,17.73589575,6.81942994,0.02112063,0.84997534,16.77216594,6.48590507,0.01324901,0.10535484
24,"[16, 8]",0.4,0.0005,32,22,154.70922995,18.90111513,9.2672541,0.02567688,0.82961504,15.79503309,4.91032887,0.01078789,0.2065609
24,"[16, 8]",0.4,0.002,32,11,80.92412376,20.76485153,11.20399215,0.02852884,0.79435694,15.99374905,5.96305681,0.01233901,0.18647094
24,"[16, 8]",0.2,0.0001,32,40,275.27787828,17.01008025,6.04501331,0.02000445,0.86200316,16.31280047,6.05008928,0.01253407,0.15368982
24,"[16, 8]",0.2,0.0005,32,30,217.09896374,17.21118302,7.27695514,0.02226109,0.85872092,15.55504808,4.21847624,0.00974422,0.23048829
24,"[16, 8]",0.2,0.002,32,23,170.67424703,16.77926773,6.07868581,0.02000909,0.86572276,15.69345779,5.62394185,0.01185724,0.21673305
24,[128],0.4,0.0001,32,40,230.86308146,15.88736611,4.39528328,0.01692544,0.87961837,15.60926862,5.24293255,0.01126941,0.22511434
24,[128],0.4,0.0005,32,15,100.19877481,16.25412252,4.98970743,0.01801177,0.87399625,15.66464207,5.35262418,0.01143643,0.21960681
24,[128],0.4,0.002,32,20,109.75338912,15.27942884,4.6596259,0.01535108,0.88865502,15.23941827,3.98564418,0.00936494,0.26140001
24,[128],0.2,0.0001,32,24,144.94532943,16.21351047,4.98787798,0.01796885,0.87462512,15.82672889,5.43366506,0.01156783,0.20337333
24,[128],0.2,0.0005,32,25,137.34043479,15.14806261,4.36319172,0.01586923,0.89056139,15.33870691,4.72238571,0.01047484,0.25174433
24,[128],0.2,0.002,32,17,98.70853114,14.81697621,4.24405082,0.014146,0.89529304,15.66503637,5.0578987,0.01100638,0.21956753
24,"[32, 16]",0.4,0.0001,32,40,278.31222248,17.74400243,7.69097507,0.02277442,0.84983816,16.20710092,5.81261532,0.01217996,0.1646217
24,"[32, 16]",0.4,0.0005,32,34,229.91310334,18.23470669,8.39181991,0.02422074,0.84141797,15.61152974,5.0088201,0.01094262,0.22488982
24,"[32, 16]",0.4,0.002,32,6,44.99333954,19.57962807,9.861176,0.0257292,0.8171625,17.36964212,8.18908411,0.01579016,0.0404795
24,"[32, 16]",0.2,0.0001,32,40,286.3471725,16.61189437,5.38900572,0.01880631,0.86838823,15.95798026,5.79551026,0.01210867,0.19010566
24,"[32, 16]",0.2,0.0005,32,40,292.97892666,16.18779551,6.14345471,0.01913161,0.8750225,15.43092419,4.88294454,0.01073363,0.24272017
24,"[32, 16]",0.2,0.002,32,20,146.18998122,16.26924381,5.61977807,0.01879531,0.8737617,15.62248719,5.4961151,0.01167641,0.22380137
24,[64],0.4,0.0001,32,34,185.02951694,16.40131238,5.13989009,0.01847393,0.87170386,15.71101884,5.10044127,0.01106329,0.21497911
24,[64],0.4,0.0005,32,22,123.60126781,16.25349004,5.48501734,0.01877966,0.87400606,15.79446341,6.06568864,0.01254892,0.20661814
24,[64],0.4,0.002,32,18,101.52329326,15.81927647,4.98218188,0.01743209,0.88064802,15.36979183,4.31306361,0.0098808,0.24870848
24,[64],0.2,0.0001,32,40,225.98419833,16.03509719,4.58486986,0.01735408,0.87736919,15.71451703,5.49471887,0.01166742,0.21462948
24,[64],0.2,0.0005,32,21,125.48553967,15.7802432,4.32265172,0.01669909,0.88123628,15.79123733,5.58879996,0.01182262,0.2069422
24,[64],0.2,0.002,32,20,106.20790577,15.34590661,4.65959105,0.01659612,0.88768403,15.28949649,4.26045275,0.00978352,0.25653781
24,"[64, 32]",0.4,0.0001,32,38,267.9860208,16.85902104,5.78425247,0.0193905,0.86444326,16.2855991,6.66195596,0.0134466,0.15650989
