Seq,Unit,Dropout,LR,Batch Size,Epoch,training_time_sec,train_rmse,train_mae,train_mape,train_r2,test_rmse,test_mae,test_mape,test_r2,error
1,"[8, 4]",0.0,0.0001,32.0,40.0,234.89754415,16.49785623,4.82813241,0.01796325,0.87023753,15.67096249,5.28144134,0.01128534,0.21052844,
1,"[8, 4]",0.0,0.0005,32.0,40.0,228.73346639,15.96691033,4.35466779,0.01699235,0.87845535,15.60907522,5.00192327,0.01088443,0.21675164,
1,"[8, 4]",0.0,0.002,32.0,11.0,62.12634301,16.2890074,4.58758218,0.01753576,0.8735021,16.13710119,6.26884627,0.01283005,0.16286367,
1,,,,,,,,,,,999999.0,,,,Invalid value received for argument `rate`. Expected a float value between 0 and 1. Received: rate=6
1,,,,,,,,,,,999999.0,,,,Invalid value received for argument `rate`. Expected a float value between 0 and 1. Received: rate=6
1,,,,,,,,,,,999999.0,,,,Invalid value received for argument `rate`. Expected a float value between 0 and 1. Received: rate=6
1,"[8, 4]",0.4,0.0001,32.0,40.0,254.5555644,19.15799889,8.53348607,0.02416724,0.8250176,16.10374167,6.28417911,0.01280766,0.16632124,
1,"[8, 4]",0.4,0.0005,32.0,24.0,152.2871778,19.31949166,8.85598968,0.02497246,0.82205513,15.87250126,5.91535534,0.01223791,0.19009163,
1,"[8, 4]",0.4,0.002,32.0,7.0,47.87916684,18.80115128,8.16177493,0.02336642,0.83147553,16.56904565,5.81150721,0.01213551,0.11744834,
1,"[8, 4]",0.2,0.0001,32.0,40.0,265.779423,17.37811127,6.31427054,0.02055844,0.85602097,15.82991563,5.60274218,0.01177621,0.19443174,
1,"[8, 4]",0.2,0.0005,32.0,16.0,110.44366193,17.34257881,6.16094647,0.02019452,0.85660915,15.95943256,6.28628337,0.01280703,0.18119584,
1,"[8, 4]",0.2,0.002,32.0,11.0,67.86533713,18.32828569,8.36042357,0.02392631,0.83984601,15.52492889,5.45458786,0.01151926,0.22517364,
1,"[8, 4]",0.0,0.0001,32.0,40.0,233.10702276,16.44462798,4.74749315,0.01779153,0.8710735,15.76171067,5.61672743,0.01182209,0.20135854,
