Seq,Unit,Dropout,LR,Batch Size,Epoch,training_time_sec,train_rmse,train_mae,train_mape,train_r2,test_rmse,test_mae,test_mape,test_r2
1,"[8, 4]",0.6,0.0001,32,30,187.69410443,22.20358593,10.71499003,0.02723079,0.76496079,16.89507212,6.31759013,0.01294031,0.08237498
1,"[8, 4]",0.6,0.0005,32,17,100.80522513,21.4833565,10.7041342,0.02762718,0.77996166,17.14758586,8.87646894,0.01676641,0.05474035
1,"[8, 4]",0.6,0.002,32,7,42.47835302,22.67739229,12.02548822,0.02915117,0.75482267,16.58894626,5.84245709,0.01218791,0.11532705
1,"[8, 4]",0.1,0.0001,32,40,246.51111722,16.80683587,5.37722049,0.01897712,0.86533151,15.92593703,5.84924412,0.0121646,0.18462924
1,"[8, 4]",0.1,0.0005,32,29,194.39315963,16.49316199,5.16597615,0.01861191,0.87031136,15.46300492,4.26261836,0.00973027,0.23134238
1,"[8, 4]",0.1,0.002,32,16,104.11514711,17.25669312,7.2595334,0.02223084,0.85802586,15.58249873,5.17953763,0.01112478,0.21941653
1,[32],0.6,0.0001,32,38,183.46135044,17.35465194,6.64265695,0.02111448,0.85640944,15.69626875,4.8800692,0.01070056,0.20797662
1,[32],0.6,0.0005,32,12,55.48949385,17.29995454,6.31906977,0.02049391,0.85731313,15.83856796,4.90541023,0.01073813,0.19355088
1,[32],0.6,0.002,32,7,33.43385911,18.65806611,8.0717841,0.02328374,0.83403086,15.91384665,5.6150943,0.01178412,0.18586676
1,[32],0.1,0.0001,32,40,196.73205161,16.09996163,4.39252032,0.01716916,0.87642126,15.40507599,4.04112683,0.00939884,0.23709083
1,[32],0.1,0.0005,32,24,122.20603943,16.03105263,4.29391049,0.01700016,0.87747685,15.56387255,5.07579323,0.0109931,0.22128152
1,[32],0.1,0.002,32,19,89.51996493,15.46135611,4.3700717,0.01641887,0.88603034,15.69778372,5.16727192,0.01114106,0.20782373
1,[256],0.6,0.0001,32,34,167.44946361,16.24049406,4.43405981,0.01733544,0.87425447,15.46309476,4.5239846,0.01015063,0.23133345
1,[256],0.6,0.0005,32,29,143.88407588,16.06594487,4.19011452,0.01685802,0.87694291,15.34026207,4.23876092,0.00972027,0.24349691
1,[256],0.6,0.002,32,33,156.39313865,15.86386378,4.07073718,0.01652502,0.88001912,15.29287478,4.00382862,0.00935423,0.24816349
1,[256],0.1,0.0001,32,31,147.20134974,15.96202289,4.09687295,0.01664461,0.87852975,15.45108415,4.59096674,0.01026079,0.23252708
1,[256],0.1,0.0005,32,24,113.64247036,15.66477187,4.05496063,0.01639143,0.88301175,15.2725058,4.2191976,0.00967441,0.25016494
1,[256],0.1,0.002,32,7,33.06789708,16.39177677,4.74759655,0.01783862,0.87190088,15.36725514,4.51824804,0.01011066,0.24083225
1,"[128, 64]",0.6,0.0001,32,40,245.38927984,16.41741794,4.84520043,0.01804326,0.8714998,15.48090415,3.96888201,0.00930624,0.22956183
1,"[128, 64]",0.6,0.0005,32,29,171.33166432,16.33874504,4.72055174,0.0177972,0.87272841,15.34806994,4.06976957,0.00945137,0.24272663
1,"[128, 64]",0.6,0.002,32,11,73.49672246,16.57853714,5.32231569,0.01881841,0.86896525,15.66877376,5.38053155,0.01145297,0.21074895
1,"[128, 64]",0.1,0.0001,32,34,208.49127388,16.06560211,4.25890873,0.01695657,0.87694816,15.38009584,4.29269063,0.00979917,0.23956302
1,"[128, 64]",0.1,0.0005,32,27,167.62353992,15.5498007,4.13343782,0.01621166,0.88472272,15.24212397,3.78354707,0.00901512,0.25314529
1,"[128, 64]",0.1,0.002,32,9,62.55204058,16.3138423,4.7967027,0.01781358,0.87311608,15.41236848,4.57498632,0.0102007,0.23636836
1,"[64, 32, 8]",0.6,0.0001,32,36,261.22095084,17.70405624,6.56660987,0.02073777,0.85056936,15.84661669,5.67185222,0.01189035,0.19273104
1,"[64, 32, 8]",0.6,0.0005,32,8,57.743958,18.24433082,6.94571725,0.02122865,0.84130985,16.25439196,5.74321164,0.01201455,0.15065017
1,"[64, 32, 8]",0.6,0.002,32,6,46.02298594,19.2041553,8.4193797,0.02353561,0.82417343,17.38108477,8.96561316,0.01692827,0.02882185
1,"[64, 32, 8]",0.1,0.0001,32,36,255.04453897,16.19245921,4.45489546,0.01732427,0.87499721,15.46109235,4.93211617,0.01077359,0.23153252
1,"[64, 32, 8]",0.1,0.0005,32,28,214.0554173,15.9232283,4.33560415,0.01707696,0.87911948,15.40665657,4.87671448,0.01068446,0.23693427
1,"[64, 32, 8]",0.1,0.002,32,15,103.9820919,16.09317793,4.82639033,0.01800495,0.87652538,15.56701322,5.04936959,0.01096926,0.22096721
1,"[16, 8]",0.6,0.0001,32,40,243.18698454,18.85007678,7.8274951,0.02276105,0.8305973,16.08629355,5.14392694,0.01111711,0.16812681
1,"[16, 8]",0.6,0.0005,32,22,136.62465215,19.37731169,8.85912117,0.02493187,0.82098842,15.86340825,5.58169728,0.01174637,0.19101932
1,"[16, 8]",0.6,0.002,32,6,36.16379309,20.4463221,9.88768835,0.02588106,0.80069212,16.43375556,5.47665386,0.01164727,0.13180198
1,"[16, 8]",0.1,0.0001,32,40,242.99328589,16.48448668,4.87309629,0.01813194,0.87044776,15.51491423,4.54497762,0.0101679,0.22617295
1,"[16, 8]",0.1,0.0005,32,29,184.37535286,16.21714168,4.76121293,0.01785194,0.87461583,15.33885224,4.62886837,0.01029327,0.24363596
1,"[16, 8]",0.1,0.002,32,19,121.79041219,16.03342391,4.53577106,0.01727855,0.8774406,15.66733468,5.59623653,0.01179265,0.21089392
1,[128],0.6,0.0001,32,37,173.85223055,16.34665981,4.66946343,0.01769471,0.87260507,15.52291955,4.73861314,0.01047713,0.22537419
1,[128],0.6,0.0005,32,21,98.27011013,16.26724207,4.59551048,0.01756396,0.87383992,15.46238819,4.74390461,0.01048258,0.2314037
1,[128],0.6,0.002,32,30,146.00019407,16.00438997,4.33291066,0.01703395,0.87788407,15.26859627,3.93557153,0.00924795,0.25054878
1,[128],0.1,0.0001,32,25,115.80303597,16.08203081,4.20075467,0.01691536,0.87669637,15.47807531,4.46114445,0.01006074,0.22984337
1,[128],0.1,0.0005,32,24,114.25518966,15.69359311,4.05798392,0.01642692,0.88258087,15.24596196,3.77013672,0.0089921,0.25276912
1,[128],0.1,0.002,32,24,116.61395264,15.32333006,4.02980044,0.01605962,0.88805611,15.37369803,4.58810703,0.0102563,0.24019554
1,"[32, 16]",0.6,0.0001,32,30,180.37331247,17.44409668,6.4248586,0.02054053,0.85492551,15.96750376,4.95112184,0.01081616,0.18036744
1,"[32, 16]",0.6,0.0005,32,11,69.33030057,18.02245409,7.04876387,0.02147871,0.84514617,15.85683483,4.5075146,0.01013509,0.19168963
1,"[32, 16]",0.6,0.002,32,6,40.36563754,18.41194259,7.84590417,0.02277714,0.83838067,16.09401736,4.92738432,0.01079313,0.16732777
1,"[32, 16]",0.1,0.0001,32,40,255.75164986,16.17740851,4.42118816,0.0172649,0.87522948,15.49630875,4.58743237,0.01025762,0.22802779
1,"[32, 16]",0.1,0.0005,32,27,167.77864218,16.04529575,4.51714204,0.01740684,0.87725903,15.41854356,4.51636019,0.01013305,0.23575633
1,"[32, 16]",0.1,0.002,32,17,108.24405622,15.91699206,4.40034251,0.01714494,0.87921414,15.38994053,4.61238782,0.0102878,0.2385892
1,[64],0.6,0.0001,32,28,128.99921346,16.62498275,5.18915706,0.01855638,0.86823002,15.75155338,4.82688811,0.01061929,0.20238755
1,[64],0.6,0.0005,32,20,98.97192764,16.48367464,5.0517555,0.01837935,0.87046052,15.58840242,4.94853274,0.01079512,0.21882495
1,[64],0.6,0.002,32,13,60.99191904,16.75230561,5.63156218,0.01927527,0.86620396,15.46361115,4.55422244,0.01016395,0.23128211
1,[64],0.1,0.0001,32,35,160.09833312,16.06779083,4.29212077,0.01704258,0.87691463,15.40088768,4.35327937,0.00988109,0.23750561
1,[64],0.1,0.0005,32,18,82.12942529,15.89148922,4.2724299,0.01689474,0.87960089,15.28346939,3.78174368,0.00900569,0.24908799
1,[64],0.1,0.002,32,25,115.71527719,15.19610146,3.99974353,0.01600376,0.88990732,15.10765223,3.64847302,0.00879574,0.26626522
1,"[64, 32]",0.6,0.0001,32,40,235.29452825,16.66713334,5.32688688,0.01883812,0.867561,15.63641999,4.03553643,0.00941553,0.21400497
1,"[64, 32]",0.6,0.0005,32,38,228.76752758,17.03930934,6.00928445,0.02016973,0.86158025,15.42047893,4.39609227,0.0099375,0.23556446
1,"[64, 32]",0.6,0.002,32,9,60.6742177,17.69290103,6.98126364,0.02182817,0.85075762,15.5254349,5.06906645,0.01095986,0.22512313
1,"[64, 32]",0.1,0.0001,32,34,237.70770955,16.23761913,4.49138617,0.01740421,0.87429898,15.47207341,4.28468156,0.00977949,0.23044054
1,"[64, 32]",0.1,0.0005,32,37,223.18635082,15.76855565,4.1634461,0.01659467,0.88145645,15.33572602,4.30737708,0.00982113,0.24394423
1,"[64, 32]",0.1,0.002,32,15,88.07494831,15.82188352,4.30687296,0.01691621,0.88065329,15.35246881,4.56862073,0.01022926,0.24229248
