Unit,Feature_Index,W_input_gate,W_forget_gate,W_candidate,W_output_gate
h_1,0,-0.549003,-0.037103,0.099527,-0.124349
h_1,1,-0.01598,0.263106,-0.045927,0.402967
h_1,2,0.278826,-0.076987,-0.257151,0.006998
h_1,3,0.131015,0.598496,-0.277639,0.139252
h_1,4,0.974585,-0.040965,-0.521912,0.377062
h_1,5,-0.849615,0.152728,0.060563,-0.055943
h_1,6,-0.250499,-0.036582,0.018761,-0.465266
h_1,7,-0.176449,-0.046701,0.131138,0.004405
h_1,8,0.181069,-0.259375,-0.055376,0.163503
h_1,9,-0.152622,-0.069636,-0.14312,-0.30834
h_1,10,-0.257124,0.134901,-0.092272,0.267278
h_1,11,0.173109,0.29534,-0.374485,0.735854
h_1,12,0.76577,0.093761,-0.214515,0.488787
h_1,13,-0.118854,0.519906,-0.004707,0.03903
h_1,14,-0.619499,-0.514952,0.016958,0.033483
h_128,0,-0.811927,-0.158446,-0.022114,-0.56663
h_128,1,-0.016997,-0.03892,-0.079316,0.18933
h_128,2,0.309625,0.008234,-0.011096,-0.232546
h_128,3,-0.400566,0.339064,0.0528,-0.253237
h_128,4,0.014608,-0.533208,0.014275,-0.405644
h_128,5,-0.376272,-0.22611,0.181163,-0.343107
h_128,6,-0.583539,-0.484628,-0.051549,-0.481517
h_128,7,-0.229997,0.36054,-0.040837,0.499721
h_128,8,0.722031,0.521802,0.351925,-0.112587
h_128,9,-0.8192,-0.617288,-0.248191,-0.649746
h_128,10,-0.328894,-0.056641,0.189651,-0.255476
h_128,11,-0.393532,0.149795,0.174977,0.223581
h_128,12,0.092739,-1.104376,-0.314916,-0.657224
h_128,13,0.126858,-0.495248,-0.122537,-0.260296
h_128,14,-0.544605,0.007788,0.024763,-0.292583
