Gate,Matrix,Shape,Min,Max,Mean,Std,N_params
Input (i),W_I,"(15, 128)",-1.454616,1.228439,-0.097218,0.379508,1920
Input (i),U_I,"(128, 128)",-2.385318,1.73154,-0.023546,0.35023,16384
Input (i),b_I,"(128,)",-1.155641,0.031525,-0.674092,0.193852,128
Forget (f),W_F,"(15, 128)",-1.653644,1.265815,-0.085827,0.381823,1920
Forget (f),U_F,"(128, 128)",-1.265898,1.74927,-0.014838,0.288305,16384
Forget (f),b_F,"(128,)",-0.096302,1.130611,0.513024,0.258257,128
Candidate (c),W_C,"(15, 128)",-1.029702,1.157241,-0.000846,0.259244,1920
Candidate (c),U_C,"(128, 128)",-1.318662,0.934883,-0.006587,0.198836,16384
Candidate (c),b_C,"(128,)",-0.465532,0.442979,0.016128,0.141529,128
Output (o),W_O,"(15, 128)",-1.46968,1.031076,-0.064102,0.350471,1920
Output (o),U_O,"(128, 128)",-1.668582,1.603986,-0.018732,0.309273,16384
Output (o),b_O,"(128,)",-1.105086,0.023495,-0.642638,0.198045,128
